time,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-09-17,2.0,,300000000.0,,,,,,,,300000000.0,0.0,0.0,0.0,,,,,,0.0,,,,
2017-09-18,0.0,,0.0,,,,,,,,300000000.0,0.0,0.0,0.0,,,,,,0.0,,,,
2017-09-19,0.0,,0.0,,,,,,,,300000000.0,0.0,0.0,0.0,,,,,,0.0,,,,
2017-09-20,0.0,,0.0,,,,,,,,300000000.0,0.0,0.0,0.0,,,,,,0.0,,,,
2017-09-21,0.0,,0.0,,,,,,,,300000000.0,0.0,0.0,0.0,,,,,,0.0,,,,
2017-09-22,0.0,,0.0,,,,,,,,300000000.0,0.0,0.0,0.0,,,,,,0.0,,,,
2017-09-23,0.0,,0.0,,,,,,,,300000000.0,0.0,0.0,0.0,,,,,,0.0,,,,
2017-09-24,0.0,,0.0,,,,,,,,300000000.0,0.0,0.0,0.0,,,,,,0.0,,,,
2017-09-25,175.0,,42147601.79726999937,,,,,,,,342147601.79726999937,0.0,0.0,0.0,,,,,,0.0,,,,
2017-09-26,67.0,,6320421.20131414831659,,,,,,,,348468022.99858414768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-09-27,66.0,,5147545.57131,,,,,,,,353615568.56989414768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-09-28,46.0,,6362783.823387,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-09-29,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-09-30,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-10-01,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-10-02,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-10-03,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-10-04,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-10-05,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-10-06,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-10-07,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-10-08,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-10-09,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-10-10,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-10-11,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-10-12,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-10-13,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-10-14,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-10-15,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
2017-10-16,0.0,,0.0,,,,,,,,359978352.39328114768659,0.0,0.0,0.0,,,,,,0.0,,,,
