time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
2020-01-09,32.0,12.0,30.0,30.0,12.0,12.0,30.0,10.0,12.0,30.0,30.0,30.0,30.0,12.0,10.0,12.0,12.0,30.0,12.0,1.0,,,,,,,,,1614761294.0,,,,,,,100000000.0,,0.99999976,11.644789213013,,0.532604478213,,,,,,0.000000251503,4573774.0,4573774.0,4573774.0,4573774.0,4573774.0,4573774.0,4573774.0,4573774.0,4573774.0,4573774.0,4573774.0,4573774.0,4.573774,99999976.0,100000000.0,100000000.0,99999976.0,99999976.0,100000000.0,99886226.0,99999976.0,100000000.0,100000000.0,100000000.0,100000000.0,99999976.0,99999976.0,99886226.0,99999976.0,99999976.0,95426226.0,,,,,,,,,100000000.0,96826226.0,95426226.0,100000000.0,4573758.0,41.0,0.000474537037,41.0,8587532.0,,209452.04878049,,1.0,,0.08587534,,
2020-01-10,17.0,28.0,30.0,30.0,28.0,28.0,30.0,25.0,28.0,30.0,30.0,30.0,30.0,28.0,25.0,28.0,28.0,30.0,28.0,10.0,,,,,,,,,1614761318.0,,,,,,,0.0,,0.99999992,2.370371100796,,0.108415037852,,,,,,0.000000150267,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46.761261,99999992.0,100000000.0,100000000.0,99999992.0,99999992.0,100000000.0,99871367.0,99999992.0,100000000.0,100000000.0,100000000.0,100000000.0,99999992.0,99999992.0,99871367.0,99999992.0,99999992.0,92855511.0,,,,,,,,,100000000.0,65238747.0,53238739.0,100000000.0,4573758.0,16.0,0.000185185185,16.0,42187487.0,,2636717.9375,,1783385.0,,0.50775021,,
2020-01-11,0.0,28.0,30.0,30.0,28.0,28.0,30.0,25.0,28.0,30.0,30.0,30.0,30.0,28.0,25.0,28.0,28.0,30.0,28.0,10.0,,,,,,,,,1614761350.0,,,,,,,0.0,,0.99999992,,,,,,,,,0.000000150267,46761261.0,46761261.0,0.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46.761261,99999992.0,100000000.0,100000000.0,99999992.0,99999992.0,100000000.0,99871367.0,99999992.0,100000000.0,100000000.0,100000000.0,100000000.0,99999992.0,99999992.0,99871367.0,99999992.0,99999992.0,92855511.0,,,,,,,,,100000000.0,65238747.0,53238739.0,100000000.0,4573758.0,0.0,0.0,0.0,0.0,,,,,,0.50775021,,
2020-01-12,0.0,28.0,30.0,30.0,28.0,28.0,30.0,25.0,28.0,30.0,30.0,30.0,30.0,28.0,25.0,28.0,28.0,30.0,28.0,10.0,,,,,,,,,1614761370.0,,,,,,,0.0,,0.99999992,,,,,,,,,0.000000150267,46761261.0,46761261.0,0.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46.761261,99999992.0,100000000.0,100000000.0,99999992.0,99999992.0,100000000.0,99871367.0,99999992.0,100000000.0,100000000.0,100000000.0,100000000.0,99999992.0,99999992.0,99871367.0,99999992.0,99999992.0,92855511.0,,,,,,,,,100000000.0,65238747.0,53238739.0,100000000.0,4573758.0,0.0,0.0,0.0,0.0,,,,,,0.50775021,,
2020-01-13,2.0,29.0,31.0,31.0,29.0,29.0,31.0,26.0,29.0,31.0,31.0,31.0,31.0,29.0,26.0,29.0,29.0,31.0,29.0,10.0,,,,,,,,,1614761380.0,,,,,,,0.0,,0.99999992,285.714285714286,,13.06788,,,,,,0.000000150267,46761261.0,46761261.0,560000.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46.761261,99999992.0,100000000.0,100000000.0,99999992.0,99999992.0,100000000.0,99871367.0,99999992.0,100000000.0,100000000.0,100000000.0,100000000.0,99999992.0,99999992.0,99871367.0,99999992.0,99999992.0,92855511.0,,,,,,,,,100000000.0,65238747.0,53238739.0,100000000.0,4573758.0,1.0,0.000011574074,1.0,350000.0,,350000.0,,350000.0,,0.51125021,,
2020-01-14,2.0,29.0,31.0,31.0,29.0,29.0,31.0,26.0,29.0,31.0,31.0,31.0,31.0,29.0,26.0,29.0,29.0,31.0,29.0,10.0,,,,,,,,,1614761393.0,,,,,,,0.0,,0.99999992,476.190476190476,,21.7798,,,,,,0.000000150267,46761261.0,46761261.0,560000.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46.761261,99999992.0,100000000.0,100000000.0,99999992.0,99999992.0,100000000.0,99871367.0,99999992.0,100000000.0,100000000.0,100000000.0,100000000.0,99999992.0,99999992.0,99871367.0,99999992.0,99999992.0,92855511.0,,,,,,,,,100000000.0,65238747.0,53238739.0,100000000.0,4573758.0,1.0,0.000011574074,1.0,210000.0,,210000.0,,210000.0,,0.51335021,,
2020-01-15,0.0,29.0,31.0,31.0,29.0,29.0,31.0,26.0,29.0,31.0,31.0,31.0,31.0,29.0,26.0,29.0,29.0,31.0,29.0,10.0,,,,,,,,,1614761400.0,,,,,,,0.0,,0.99999992,,,,,,,,,0.000000150267,46761261.0,46761261.0,210000.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46.761261,99999992.0,100000000.0,100000000.0,99999992.0,99999992.0,100000000.0,99871367.0,99999992.0,100000000.0,100000000.0,100000000.0,100000000.0,99999992.0,99999992.0,99871367.0,99999992.0,99999992.0,92855511.0,,,,,,,,,100000000.0,65238747.0,53238739.0,100000000.0,4573758.0,0.0,0.0,0.0,0.0,,,,,,0.51335021,,
2020-01-16,0.0,29.0,31.0,31.0,29.0,29.0,31.0,26.0,29.0,31.0,31.0,31.0,31.0,29.0,26.0,29.0,29.0,31.0,29.0,10.0,,,,,,,,,1614761413.0,,,,,,,0.0,,0.99999992,,,,,,,,,0.000000150267,46761261.0,46761261.0,0.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46761261.0,46.761261,99999992.0,100000000.0,100000000.0,99999992.0,99999992.0,100000000.0,99871367.0,99999992.0,100000000.0,100000000.0,100000000.0,100000000.0,99999992.0,99999992.0,99871367.0,99999992.0,99999992.0,92855511.0,,,,,,,,,100000000.0,65238747.0,53238739.0,100000000.0,4573758.0,0.0,0.0,0.0,0.0,,,,,,0.51335021,,
2020-01-17,4.0,29.0,32.0,32.0,29.0,29.0,32.0,26.0,29.0,32.0,32.0,32.0,32.0,29.0,26.0,29.0,29.0,32.0,29.0,10.0,,,,,,,,,1614761424.0,,,,,,,0.0,,0.99999984,26.315907202743,,1.203625910958,,,,,,0.000000300533,46761269.0,46761269.0,3799983.0,46761269.0,46761269.0,46761269.0,46761269.0,46761269.0,46761269.0,4359983.0,46761269.0,46761269.0,46.761269,99999984.0,100000000.0,100000000.0,99999984.0,99999984.0,100000000.0,99871359.0,99999984.0,100000000.0,100000000.0,100000000.0,100000000.0,99999984.0,99999984.0,99871359.0,99999984.0,99999984.0,92855503.0,,,,,,,,,100000000.0,65238739.0,53238731.0,100000000.0,4573758.0,3.0,0.000034722222,3.0,3799983.0,,1266661.0,,7.0,,0.55135004,,
2020-01-18,0.0,29.0,32.0,32.0,29.0,29.0,32.0,26.0,29.0,32.0,32.0,32.0,32.0,29.0,26.0,29.0,29.0,32.0,29.0,10.0,,,,,,,,,1614761432.0,,,,,,,0.0,,0.99999984,,,,,,,,,0.000000300533,46761269.0,46761269.0,3799983.0,46761269.0,46761269.0,46761269.0,46761269.0,46761269.0,46761269.0,4359983.0,46761269.0,46761269.0,46.761269,99999984.0,100000000.0,100000000.0,99999984.0,99999984.0,100000000.0,99871359.0,99999984.0,100000000.0,100000000.0,100000000.0,100000000.0,99999984.0,99999984.0,99871359.0,99999984.0,99999984.0,92855503.0,,,,,,,,,100000000.0,65238739.0,53238731.0,100000000.0,4573758.0,0.0,0.0,0.0,0.0,,,,,,0.55135004,,
