time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2024-04-30,,,,,,151735.096119563
2024-05-01,,,,,,85806.9430607913
2024-05-02,,,,,,565268.197226648
2024-05-03,,,,,,204440.886023375
2024-05-04,,,,,,78517.6977794702
2024-05-05,,,,,,58756.8549041322
2024-05-06,,,,,,75663.3111217364
2024-05-07,,,,,,45456.2908851295
2024-05-08,,,,,,18717.4217540389
2024-05-09,,,,,,15979.1436309005
2024-05-10,,,,,,17118.9036964765
2024-05-11,,,,,,29849.6450586775
2024-05-12,,,,,,15749.434697268
2024-05-13,,,,,,20208.3679587484
2024-05-14,,,,,,8289.17642124412
2024-05-15,,,,,,65391.1254667915
2024-05-16,,,,,,98257.9836437361
2024-05-17,,,,,,192853.230737286
2024-05-18,,,,,,261364.273759965
2024-05-19,,,,,,231265.661638045
2024-05-20,,,,,,274238.850713695
2024-05-21,,,,,,273425.326607487
2024-05-22,,,,,,279703.506012297
2024-05-23,,,,,,277161.244895096
2024-05-24,,,,,,270537.387221563
2024-05-25,,,,,,284554.530959652
2024-05-26,,,,,,269924.842688809
2024-05-27,,,,,,267450.098676245
2024-05-28,,,,,,282349.470618189
2024-05-29,,,,,,262307.302998153
2024-05-30,,,,,,508310.93247248
2024-05-31,,,,,,1010008.03040895
2024-06-01,,,,,,581004.928399852
2024-06-02,,,,,,338788.811833979
2024-06-03,,,,,,993670.472064263
2024-06-04,,,,,,840118.366762789
2024-06-05,,,,,,2225815.63227228
2024-06-06,,,,,,1826492.24845497
2024-06-07,,,,,,1268202.46169501
2024-06-08,,,,,,1175230.05953298
2024-06-09,,,,,,762610.894171504
2024-06-10,,,,,,1655269.52438703
2024-06-11,,,,,,1456083.57971194
2024-06-12,,,,,,1765662.24460295
2024-06-13,,,,,,914388.697814896
2024-06-14,,,,,,1564462.23439174
2024-06-15,,,,,,593990.383217456
2024-06-16,,,,,,333000.902903556
2024-06-17,,,,,,396828.253356288
