time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d,principal_market_price_usd,principal_market_usd
2017-11-30,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1614335140,,,,,,0,433494437,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433494437,433494437,433494437,433494437,433494437,433494437,433494437,433494437,433494437,433494437,433494437,433494437,433494437,433494437,433494437,433494437,433494437,433494437,,,,,,,,,433494437,433494437,433494437,433494437,433494437,0,0,0,0,,,,,,0,,,,
2017-12-01,5635,3381,5262,5293,691,5234,5285,81,5003,5351,5301,5294,5291,5190,349,5257,2146,5271,4640,25,,,,,,,,,1614335140,,,,,,0,0,,0.905331968868,1.98458625,,1.98458625,,,,,,,,,,,0.000001905498,204093428.562869039916961474,204093428.562869039916961474,204093428.562869039916961474,204093428.562869039916961474,204093428.562869039916961474,204093428.562869039916961474,204093428.562869039916961474,204093428.562869039916961474,204093428.562869039916961474,204093428.562869039916961474,204093428.562869039916961474,204093428.562869039916961474,47.08098,430146986.155134410774941365,433494412.724747612180983962,433494436.936215482619352856,392456372.142545100468426644,433493850.283762521023712154,433494435.235286048577303993,321665928.497409072231158727,433440593.606617954002844919,433494436.989679862787996416,433494436.958385335185315036,433494436.784271804970634782,433494424.67168436303692482,433494383.490302480173238479,433490879.215964166587255162,370380386.54314829625355998,422032502.784236899444490771,433179967.479673332302382752,287680951.378051811669502484,,,,,,,,,328647793.357132101482057855,384573899.398075475783441936,307906967.973526860010517278,433494437,433494437,1674,0.019375,6482,218430635.94577378,,34003.64314717,,6205.232702743416,,0.508453156643358,,,,
2017-12-02,729,3498,5495,5540,738,5459,5526,82,5210,5620,5548,5541,5537,5413,371,5488,2229,5508,4822,25,,,,,,,,,1614335141,,,,,,0,0,,0.90272820299,13.48736534,,13.48736534,,,,,,,,,,,0.000002555667,217680481.532452077346961474,217680481.532452077346961474,217680481.532452077346961474,217680481.532452077346961474,217680481.532452077346961474,217680481.532452077346961474,217680481.532452077346961474,217680481.532452077346961474,217680481.532452077346961474,217680481.532452077346961474,217680481.532452077346961474,217680481.532452077346961474,50.215288,429996888.51070315611501461,433494401.441447215137759919,433494436.935807233814340224,391327654.119078636394339239,433493666.209501407668368527,433494433.64935367407819081,314230144.874458941262086087,433435658.806820218000047329,433494436.984728276425331735,433494436.957977086380302404,433494436.717081000630618316,433494420.388383965993700777,433494362.207002083130014436,433490573.953239529523909144,367707894.386080425396205922,421678986.113973742671245026,433157336.843076297885298244,280049198.643562624407779163,,,,,,,,,321006228.944660305026985561,382395211.158628974160714786,301600549.340072065041444638,433494437,433494437,1036,0.01199074,1034,32140779.60930778,,32935.41798116,,2704.2245,,0.5870129241647049,,,,
2017-12-03,894,3535,5797,5864,735,5749,5840,83,5423,5964,5873,5866,5859,5693,371,5787,2233,5820,4986,25,,,,,,,,,1614335141,,,,,,0,0,,0.901409981905,39.060215,,39.060215,,,,,,,,,,,0.000003124145,217680481.532452077346961474,217680481.532452077346961474,41130796.93116073386728778,217680481.532452077346961474,217680481.532452077346961474,217680481.532452077346961474,217680481.532452077346961474,217680481.532452077346961474,217680481.532452077346961474,217680481.532452077346961474,217680481.532452077346961474,217680481.532452077346961474,50.215288,429673887.134981448590300143,433494389.501220686462550636,433494436.912242924923492952,390756212.611920777455694031,433493488.248136170724336693,433494431.786618662255025504,315237751.584774599305589629,433417939.320976793084612678,433494436.980071590454860687,433494436.953320400409831356,433494436.516989953520397989,433494417.044866319630655725,433494318.76924339332720899,433489694.776529174769055666,367319357.194235395511856508,421120052.059651266458967007,433106572.086806557046170556,280473400.685483948635266754,,,,,,,,,321671197.983513842021166737,383924080.589585650674287682,303683667.568308125788038344,433494437,433414437,1177,0.01362269,1177,11098106.782141637,,11428.72506957,,1394.809,,0.6180435632196823,,,,
2017-12-04,619,3567,5951,6019,762,5898,5995,92,5532,6135,6031,6024,6013,5836,393,5938,2259,5973,5076,36,,,,,,,,,1614335141,,,,,,0,0,,0.900993062576,2.10634443,,2.10634443,,,,,,,,,,,0.000003413877,416870893.579789700239239583,416870893.579789700239239583,215131638.098523174702345816,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,96.165223,429519332.684516417491680482,433494385.086343622604297011,433494436.830688976869804848,390575480.402221648025608768,433493423.538259106866083068,433494431.830001827662036139,312443132.175854278099611892,433409528.370394823881397677,433494436.978170171343918548,433494436.951418981298889217,433494436.370521539388666753,433494415.334504745237764496,433494294.354366329468955365,433489220.796162573810813563,366845642.173379155232256473,420925941.926658909225897916,433085094.140615361240101493,277574994.962419633705082971,,,,,,,,,315665189.903159054009198475,383225624.627337926559434481,296865302.889354206006904421,433494437,281690384.05,763,0.00883102,759,205804155.44441992,,272718.12694267,,2750,,1.0955423283295254,,,,
2017-12-05,432,3597,6037,6111,768,5976,6085,90,5592,6234,6123,6116,6105,5913,395,6021,2276,6061,5125,36,,,,,,,,,1614335141,,,,,,0,0,,0.900403171324,57.82567951,,57.82567951,,,,,,,,,,,0.000003792245,416870893.579789700239239583,416870893.579789700239239583,209746743.767147968592504331,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,96.165223,429464082.64142526341918741,433494381.095389141224835402,433494436.829977538893469593,390319765.82595308774905563,433493308.388973399069110884,433494431.404455541552828139,311499095.870827907024636488,433405631.308090292273382042,433494436.977458733367583293,433494436.950707543322553962,433494436.369810101412331498,433494413.193550263858302887,433494275.732552559591358006,433489086.566647042202796653,366281387.78614127052320913,420787009.372823761579943784,433075109.22991719892442492,278224300.346333964903627466,,,,,,,,,315472094.93313770350710867,383189812.776536757559117076,297610300.468408431690455031,433494437,281690384.05,504,0.00583333,503,7496573.160145198,,16666.29820699,,2282.288,,1.1148808648425463,,,,
2017-12-06,262,3619,6107,6185,776,6043,6159,90,5648,6311,6197,6191,6179,5980,397,6089,2285,6132,5172,36,,,,,,,,,1614335141,,,,,,0,0,,0.90021793044,145.4625456,,145.4625456,,,,,,,,,,,0.000003957802,416870893.579789700239239583,416870893.579789700239239583,16939050.379973439955489107,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,96.165223,429394453.580792602033178695,433494376.07821249796758644,433494436.797396971042223373,390239464.933239958167526649,433493259.089346679372182463,433494431.204313297951883305,310960576.387221825493137145,433402340.56050605450700934,433494436.977071424959420679,433494436.95719114588949974,433494436.337229533561085278,433494411.086373620601053925,433494255.415375916334109044,433489034.586441623987577492,365854367.939916171390984379,420625768.262121814794770098,433064973.64873427802116394,277680107.862727883372128123,,,,,,,,,314962845.951990355965036848,383127548.739029832936231624,297617362.722114512652219017,433494437,281690384.05,305,0.00353009,305,2980110.3454069216,,10961.70763696,,2769.284547055073,,1.1225933532712553,,,,
2017-12-07,313,3637,6181,6264,787,6117,6237,90,5717,6397,6276,6270,6258,6053,399,6165,2295,6207,5226,36,,,,,,,,,1614335141,,,,,,0,0,,0.900218370269,151.98063461,,151.98063461,,,,,,,,,,,0.000004102477,416870893.579789700239239583,416870893.579789700239239583,13648571.812903228694787435,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,96.165223,429289450.06832140657691995,433494371.933499056708520864,433494436.791496492438056143,390239655.596778455517131733,433493219.944633238113116887,433494430.893607537321995807,310006737.906820329369926634,433402030.963332591384325022,433494436.976460489890038177,433494436.95129066728533251,433494436.331329054956918048,433494408.941660179341988349,433494265.270662475075043468,433488925.441728182728511916,365418428.959673751486227968,420458432.875912445585544923,433054394.394601120294501413,277055901.382326387248917612,,,,,,,,,314009007.471588859841826337,383028842.060153033571294947,296663524.241713016529008506,433494437,281690384.05,387,0.00447917,387,2852300.4797132146,,8971.92484322,,2150,,1.1306029944983855,,,,
2017-12-08,990,3691,6501,6596,794,6428,6563,89,5932,6751,6612,6603,6587,6350,402,6481,2323,6529,5391,36,,,,,,,,,1614335141,,,,,,0,0,,0.898370365066,49.92344427,,49.92344427,,,,,,,,,,,0.000004558748,416870893.579789700239239583,416870893.579789700239239583,28081137.782241701854520416,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,96.165223,428998488.001251801824265046,433494364.687924919134443087,433494436.763437836171001201,389438555.621570194914702581,433493078.928202047146452067,433494430.050820027143053304,308631808.036679966662775897,433380507.867964555999405104,433494436.971803410073235004,433494436.933232011018277568,433494436.047352213846500272,433494404.910885164487479908,433494232.83560199592030268,433487830.956222619336920816,364411854.267460015298210522,420011340.517485059099800286,433000410.167826753654485461,276224217.861174093528887253,,,,,,,,,313006062.86257706206916142,383809473.311520634748291352,297904581.791332774759189001,433494437,281690384.05,1243,0.01438657,1243,8683183.688876016,,8698.67573019,,1300,,1.1555455381846462,,,,
2017-12-09,761,3716,6756,6863,794,6679,6823,88,6103,7032,6883,6871,6853,6586,405,6736,2325,6784,5494,35,,,,,,,,,1614335142,,,,,,0,0,,0.897663797642,74.09240835,,74.09240835,,,,,,,,,,,0.00000479312,416870893.579789700239239583,416870893.579789700239239583,31108187.775446790112015491,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,416870893.579789700239239583,251333649.063819052461912756,416870893.579789700239239583,416870893.579789700239239583,96.165223,428796234.122355153993933862,433494358.242266116335047877,433494436.702288694819893071,389132262.574050454538599929,433493003.727956169140575493,433494428.435990314746953963,307630591.462024686466513259,433363543.736824809022104638,433494436.969135839531431218,433494436.912082869667169438,433494435.91961940981982829,433494398.934192914123084698,433494227.068806194354105565,433486675.515822181499067707,364262570.541943579898890404,419687443.930503895585485799,432941446.835954356383045633,275259168.428607734332624615,,,,,,,,,312409766.067921781872898782,384939574.272940061179223137,299026917.275546404518409068,433494437,281690384.05,908,0.01050926,908,5850726.7700545285,,6976.38761341,,1050,,1.170158320754167,,,,
