time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktEstUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d,principal_market_price_usd,principal_market_usd
2019-11-13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1614335559,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2019-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1614335559,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2019-11-15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1614335559,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2019-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1614335559,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2019-11-17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1614335559,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2019-11-18,1035,327,550,562,130,526,558,56,449,583,559,551,535,167,5,349,21,479,65,0,,,,,,,,,1614335559,,,,,,,0,2339158.725768283134932899,,0.992552295331,0.61287267,,0.61287267,,,,,,,,,,,0.000002501598,576614.17293892133460417,576614.17293892133460417,576614.17293892133460417,576614.17293892133460417,576614.17293892133460417,576614.17293892133460417,576614.17293892133460417,576614.17293892133460417,576614.17293892133460417,576614.17293892133460417,576614.17293892133460417,576614.17293892133460417,38.938848,1480048.108978880631950501,1480819.752243705829097509,1480819.801385748211156931,1469791.093255333420532243,1480817.752666693604809247,1480819.798152090449433718,1431110.954322970220997648,1480759.376842090207717663,1480819.799414845449433718,1480819.764707683527075628,1480818.895967972907333976,1480791.472766356546938792,1480294.560863891795505384,1474292.284104242474943103,819132.533569475827992042,1302903.017861857318565812,1441633.581193346161382803,0,,,,,,,,,1463233.746012174441478424,1433803.059904170165454569,819132.533569475827992042,1480819.801806663525671238,1480819.801806663525671238,979,0.01133102,1059,2416194.851827709,,2595.14441349,,75,,1.8559030143552209,,,,
2019-11-19,1724,427,1305,1378,198,1175,1363,79,870,1478,1377,1358,1289,391,20,808,74,1137,178,0,,,,,,,,,1614335559,,,,,,,0,10004706.045026583677248419,,0.990377240282,0.10329769,,0.10329769,,,,,,,,,,,0.000010510049,2425988.709682139145245202,2425988.709682139145245202,2425988.709682139145245202,2425988.709682139145245202,2425988.709682139145245202,2425988.709682139145245202,2425988.709682139145245202,2425988.709682139145245202,2425988.709682139145245202,2425988.709682139145245202,2425988.709682139145245202,2425988.709682139145245202,34.94919,6929465.638379050574300115,6941470.868258058550781359,6941473.358403681365189362,6874677.233628682829463487,6941432.307116331769570874,6941473.314910075132818477,6594591.337695919164919711,6940556.186909886855565791,6941473.357635038080682526,6941473.268133372407163538,6941469.510431472101454218,6941399.522626887777415334,6940033.700471127902979874,6926427.992895409182415184,4671652.557259672081429033,6553053.797550451653413448,6857756.155952435499737378,0,,,,,,,,,6698751.820121700047871333,6820519.373120284442104347,3906431.319957107056629808,6941473.363900581694527354,6941473.363900581694527354,3466,0.04011574,4122,67198729.85714899,,19550.10980646,,2741.2091967605024,,12.005204974132493,,,,
2019-11-20,1140,540,1744,1836,245,1555,1809,100,1105,1982,1835,1804,1741,528,26,1090,100,1535,238,0,530,26,1093,100,0,1540,239,0,1614335559,3087652.9802598494051088441011852056182,3.20426485,3.20426485,9091745.1482555682785411492073470581206,6996893.622874314784,9091745.1482555682785411492073470581206,2837388.7879236604927314063671194316676,4218249.919156176523727286,4229719.7386949041272612224015721568797,0.988274389105,0.30990513,,0.30990513,,0.00012415183658817606,1.00271909435395,,,,,,,,0.000015704202,3079280.127052151461412916,3079280.127052151461412916,3050642.671405598456024238,3079280.127052151461412916,3079280.127052151461412916,3079280.127052151461412916,3079280.127052151461412916,3079280.127052151461412916,3079280.127052151461412916,3079280.127052151461412916,3079280.127052151461412916,3079280.127052151461412916,33.96106,9048215.181166769444632974,9067087.015848317410770072,9067090.863864117729988921,8960773.69313096625543166,9067009.647127673437796933,9067090.768091917565206737,8531836.944882318719929608,9065307.666290486308118849,9067090.862884163902301889,9067090.71954065466837586,9067086.723580860606950844,9066990.448986645585867852,9065162.446832396568580351,9047053.808233348496425886,5968270.674029253677651311,8531836.944882318719929608,8954065.454457983176357561,0,9066995.443272658974277074,9065192.434443537830454517,9047253.576984167246646561,5968270.674029253677651311,8531836.944882318719929608,0,8955064.263252902934227551,0,8531836.944882318719929608,8905570.72110741696223229,5172216.15228261176051774,9067090.872656975119059828,9067090.872656975119059828,2299,0.0266088,2764,29257634.22611682,29337188.494150988522895128439,16181.32247625,16225.3210188346156079686875,2462.342176408194,2469.0375171175584751959162663,14.12349205263279,,,,
2019-11-21,1309,589,2119,2249,259,1807,2208,102,1262,2455,2253,2211,2164,665,31,1345,113,1894,292,2,668,31,1348,113,0,1904,293,2,1614335559,6436335.5804485530230948320464891861654,2.01937869,2.01937869,12680509.1550945958817858498998833114485,9075616.79450799803006,12680509.1550945958817858498998833114485,6279411.20207552008966218556313775686219,6856174.632627747138019579,6872485.58212571921834971878642289822162,0.985144250704,0.17345686,,0.17345686,,0.00013167925336779546,1.00237901605078,,,1.00271909435395,0.000124151836588176,0.00574921565383551,0.905884260971615,1.00271909435395,0.000026648691,6421059.77617800770847393,6421059.77617800770847393,6264397.303183002105504701,6421059.77617800770847393,6421059.77617800770847393,6421059.77617800770847393,6421059.77617800770847393,6421059.77617800770847393,6421059.77617800770847393,6421059.77617800770847393,6421059.77617800770847393,6421059.77617800770847393,50.757706,12617779.015947762149824043,12650406.111052145043530675,12650413.598438584018496349,12462482.244842773148488385,12650194.01330914038633659,12650413.360092695062317845,11852069.54898489139514673,12647142.285799866111588675,12650413.603185906908496349,12650413.392556672760295964,12650411.101182662338755253,12650284.28105945769699211,12648031.113425390892233189,12625982.450156463126847696,9038697.707335875972832776,11968374.951288562892796316,12498262.863669488323402527,2711976.893361259455336331,12650294.275678251352591582,12648061.101036532154107355,12626282.101106037072178851,9038697.707335875972832776,11968374.951288562892796316,0,12499261.672464408081272517,2711976.893361259455336331,11826219.885094747931218466,12443399.323831412839498402,8240732.539468451494809611,12650413.618048253195138075,12650413.618048253195138075,4069,0.04709491,5198,72931182.8897593,73104687.344456409077990777254,18174.54787147,18217.7854125718966144332466,3103.443374466556,3110.82651606709878274430771368,17.59075176790312,,,,
2019-11-22,1525,684,2551,2725,307,2169,2669,100,1470,2987,2729,2672,2612,804,34,1614,131,2298,360,1,807,34,1619,132,0,2309,362,1,1614335559,7727425.00276413419045356374856589681052,1.94350648,1.94350648,14710432.80053408845044976280303332513932,12657462.8237372084328,14710432.80053408845044976280303332513932,7569016.60706739692710730872857943687364,4083059.907166892517544639,4096329.63462467597824184927518186772052,0.983263205567,0.11809092,,0.11809092,,0.00013785593962012654,1.00324994679468,,,1.00237901605078,0.000131679253367796,0.00623648128779394,0.907315306762728,1.00237901605078,0.000028919703,7702392.636503761954926389,7702392.636503761954926389,7347356.724183692918542953,7702392.636503761954926389,7702392.636503761954926389,7702392.636503761954926389,7702392.636503761954926389,7702392.636503761954926389,7702392.636503761954926389,7702392.636503761954926389,7702392.636503761954926389,7702392.636503761954926389,52.530236,14619776.69074002270647052,14662768.898861868796994108,14662779.522925964633174922,14417371.620047802701598519,14662489.649794896453040538,14662779.188905991712802313,13387274.334946438448187392,14658176.010336102239762255,14662779.527673287523174922,14662779.221369969410780432,14662775.928250937664508987,14662629.417988147083116344,14659859.301255865067581986,14633595.640576677271885527,10572966.025443062362165147,13757052.816992179980116566,14478074.691790274227304416,1327380.7981,14662640.410610775152801495,14659909.239763219697834487,14633895.291526251217216682,10572966.025443062362165147,13767044.920992179980116566,0,14480073.500585193985174259,1327380.7981,13387274.334946438448187392,14403741.134539468666960436,10024216.010774490807565538,14662779.547143749160915049,14662779.547143749160915049,7876,0.09115741,10221,124165175.9543711,124568706.169974886566380225748,15169.84916027,15219.1503629241985761033636,3333,3343.83207266666844,25.75100531038372,,,,
