time,ReferenceRate,ReferenceRateUSD,volume_reported_spot_usd_1d
2023-12-18,,,385406535.394581
2023-12-19,,,558299326.667634
2023-12-20,,,16276259.72755
2023-12-21,,,28662630.0667441
2023-12-22,,,11744066.5764219
2023-12-23,,,7890289.91970976
2023-12-24,,,5684593.94195895
2023-12-25,,,5524092.31909158
2023-12-26,,,7504295.95814654
2023-12-27,,,6488640.19801606
2023-12-28,,,5526409.66388491
2023-12-29,,,4340903.84026887
2023-12-30,,,2077613.23379995
2023-12-31,,,3804375.89752464
2024-01-01,,,4470723.30474291
2024-01-02,,,8288839.85241471
2024-01-03,,,5767425.46895623
2024-01-04,,,3277582.61072639
2024-01-05,,,3482618.98429365
2024-01-06,,,5738501.17087009
2024-01-07,,,5507927.61780265
2024-01-08,,,3243539.44156329
2024-01-09,,,3301603.68833167
2024-01-10,,,3524654.28903232
2024-01-11,,,5053114.24827433
2024-01-12,,,3624143.28289973
2024-01-13,,,5038333.62074896
2024-01-14,,,13328687.209299
2024-01-15,,,11483525.3957876
2024-01-16,,,7756901.04942341
2024-01-17,,,5057005.62491997
2024-02-07,,,745.977615407045
2024-02-08,,,1835531.74019702
2024-02-19,,,22219952.3963828
2024-02-20,,,64011665.115609
2024-02-21,,,40342296.8657951
2024-02-22,,,35807462.9838399
2024-02-23,,,35247433.1725204
2024-02-24,,,18107673.166373
2024-02-25,,,29981857.3161341
2024-02-26,,,96464796.6586013
2024-02-27,,,84946416.8044812
2024-02-28,,,88300528.4761005
2024-02-29,,,67274719.5856896
2024-03-01,,,49136777.3483569
2024-03-02,,,70367398.1895582
2024-03-03,,,63476192.8045399
2024-03-04,,,119238881.289985
2024-03-05,,,107595331.945774
2024-03-06,,,71986892.611211
2024-03-07,,,56304379.9866782
2024-03-08,,,52074722.5513677
2024-03-09,,,105700038.579193
2024-03-10,,,98348130.9865007
2024-03-11,,,94566203.4223933
2024-03-12,,,63923661.7749351
2024-03-13,,,38287087.3350357
2024-03-14,,,51336206.7769493
2024-03-15,,,58598316.8858925
2024-03-16,,,53015346.9249838
2024-03-17,,,33491271.054294
2024-03-18,,,26371305.0707321
2024-03-19,,,44905304.3113739
2024-03-20,,,39905335.2067916
2024-03-21,,,43663047.8618307
2024-03-22,,,25233722.8941439
2024-03-23,,,22611743.6484975
2024-03-24,,,18013398.3580525
2024-03-25,,,30803322.8611651
2024-03-26,,,46319047.5971175
