time,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-04-21,2.0,,350000000.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-04-22,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-04-23,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-04-24,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-04-25,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-04-26,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-04-27,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-04-28,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-04-29,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-04-30,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-05-01,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-05-02,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-05-03,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-05-04,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-05-05,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-05-06,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-05-07,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-05-08,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-05-09,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-05-10,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-05-11,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-05-12,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-05-13,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
2019-05-14,0.0,,0.0,,,,,,,,350000000.0,350000000.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
