time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-03-25,,,,,,57055.6100167468
2026-03-26,,,,,,55303.0204993368
2026-03-27,,,,,,57817.5109756761
2026-03-28,,,,,,54651.0882197294
2026-03-29,,,,,,55126.5275258123
2026-03-30,,,,,,63836.5263368015
2026-03-31,,,,,,55498.9843242834
2026-04-01,,,,,,55960.6052050501
2026-04-02,,,,,,58150.5311833671
2026-04-03,,,,,,54330.5824370997
2026-04-04,,,,,,50972.9157049514
2026-04-05,,,,,,57248.4220594126
2026-04-06,,,,,,55201.7148430478
2026-04-07,,,,,,56315.155635995
2026-04-08,,,,,,56732.146974351
2026-04-09,,,,,,58330.6588927966
2026-04-10,,,,,,57634.9814028733
2026-04-11,,,,,,53533.3923900062
2026-04-12,,,,,,54481.9238120766
2026-04-13,,,,,,57505.4078103244
2026-04-14,,,,,,55983.9060717282
2026-04-15,,,,,,55578.3289446569
2026-04-16,,,,,,57434.3047421627
2026-04-17,,,,,,57331.9585451119
2026-04-18,,,,,,55517.0161096394
2026-04-19,,,,,,56758.9018130388
2026-04-20,,,,,,56587.7122749452
2026-04-21,,,,,,65090.2853406127
2026-04-22,,,,,,56044.0562758271
2026-04-23,,,,,,59626.7456452721
2026-04-24,,,,,,63658.3299970357
2026-04-25,,,,,,59067.9694729505
2026-04-26,,,,,,54461.7359784505
2026-04-27,184.470140122419,0.00234877796324857,0.0778742034072003,157.591937166076,184.470140122419,77916.611168974
2026-04-28,175.91841226081,0.00227707538062332,0.0765549404250684,150.102376371487,175.91841226081,59508.7171006097
2026-04-29,175.907697085511,0.00230560944408832,0.0768998593009989,150.17710678407,175.907697085511,56945.0740703591
2026-04-30,173.486815298993,0.00228889495014827,0.0769648694213504,148.54733795924,173.486815298993,56465.3311991993
2026-05-01,175.972045893746,0.00230632937388831,0.0779805215864325,150.055789832632,175.972045893746,57530.1274781334
2026-05-02,175.440112411967,0.00224541374658014,0.0765174995825854,149.694698034867,175.440112411967,56215.2871269958
2026-05-03,175.165006670365,0.00222537615344048,0.0755376084135909,149.410410262319,175.165006670365,
