time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
2016-10-17,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,1614335527.0,,,,0.0,34335.0,,1.0,0.41477765,,,,,,0.0,24335.0,24335.0,24335.0,24335.0,24335.0,24335.0,24335.0,24335.0,24335.0,24335.0,24335.0,24335.0,100.0,24335.0,24335.0,24335.0,24335.0,24335.0,24335.0,24335.0,24335.0,24335.0,24335.0,24335.0,24335.0,24335.0,24335.0,0.0,24335.0,24335.0,0.0,,,,,,,,,24335.0,24335.0,24335.0,24335.0,4.0,0.0000463,4.0,58669.98856,,23251.24428,,29334.98856,,3.821860576124923,,
2016-10-18,93.0,54.0,88.0,88.0,14.0,87.0,88.0,3.0,78.0,88.0,88.0,80.0,62.0,2.0,0.0,8.0,1.0,34.0,1.0,0.0,,,,,,,,,1614335527.0,,,,0.0,296.49868112,,0.998139706997,81.78633293,,,,,,0.000000086427,24631.49868112,24631.49868112,24631.49868112,24631.49868112,24631.49868112,24631.49868112,24631.49868112,24631.49868112,24631.49868112,24631.49868112,24631.49868112,24631.49868112,100.0,24629.108554,24631.49868112,24631.49868112,24585.67687648,24631.49657792,24631.49868112,24499.45029968,24631.42512456,24631.49868112,24631.45596328,24630.48375072,24619.15960376,24555.89768944,24461.736008,0.0,24335.0,24335.0,0.0,,,,,,,,,24631.49868112,24555.89768944,24335.0,24631.49868112,183.0,0.00211806,185.0,301.1688848,,1.64381239,,0.184,,3.788201587720736,,
2016-10-19,134.0,131.0,171.0,173.0,64.0,171.0,172.0,15.0,164.0,173.0,171.0,166.0,146.0,6.0,0.0,32.0,1.0,100.0,1.0,0.0,,,,,,,,,1614335527.0,,,,0.0,2358.34465584,,0.996957103602,1.0097271,,,,,,0.000000008222,26489.84333696,26489.84333696,26489.83189696,26489.84333696,26489.84333696,26489.84333696,26489.84333696,26489.84333696,26489.84333696,26489.84333696,26489.84333696,26489.84333696,100.0,26486.02078424,26489.843141,26489.84333696,26409.23748808,26489.843141,26489.84332576,25985.85824136,26489.79449348,26489.843141,26489.81752364,26488.64986296,26468.81260216,26233.59513712,25534.86800812,0.0,23835.0,23835.0,0.0,,,,,,,,,26468.81260216,26032.21825976,23835.0,26489.84333696,260.0,0.00300926,263.0,26234.65622824,,99.75631974,,0.51149968,,4.512861513881611,,
2016-10-20,122.0,173.0,221.0,227.0,101.0,218.0,224.0,30.0,208.0,227.0,219.0,211.0,191.0,13.0,0.0,53.0,1.0,144.0,1.0,0.0,,,,,,,,,1614335528.0,,,,0.0,2824.38397484,,0.996699078423,9.21882577,,,,,,0.000000121136,29314.2273118,29314.2273118,29064.17174836,29314.2273118,29314.2273118,29314.2273118,29314.2273118,29314.2273118,29314.2273118,29314.2273118,29314.2273118,29314.2273118,100.0,29309.75806044,29314.22690748,29314.2273118,29217.46334636,29314.22431908,29314.22726752,28610.51703036,29314.15304036,29314.22543228,29314.19516876,29313.03173032,29292.53822608,28962.62399764,27648.2210172,0.0,23835.0,23835.0,0.0,,,,,,,,,29214.52315504,28328.8369472,24705.50695904,29314.2273118,248.0,0.00287037,262.0,3179.82225196,,12.14054515,,0.66469436,,4.186561563718194,,
2016-10-21,110.0,206.0,252.0,257.0,126.0,248.0,254.0,40.0,238.0,257.0,249.0,243.0,223.0,17.0,0.0,75.0,1.0,177.0,2.0,0.0,,,,,,,,,1614335528.0,,,,0.0,2801.21987616,,0.996156951367,11.25204917,,,,,,0.000000156469,32115.44718796,32115.44718796,5753.25247992,32115.44718796,32115.44718796,32115.44718796,32115.44718796,32115.44718796,32115.44718796,32115.44718796,32115.44718796,32115.44718796,100.0,32110.98673968,32115.44689532,32115.44718796,31992.02596256,32115.44327632,32115.44714368,31154.50129392,32115.3418788,32115.44468792,32115.42143552,32114.31554564,32092.68560764,31693.53876948,29872.37679232,0.0,23835.0,24999.43084836,0.0,,,,,,,,,31881.7712856,30527.36656456,24999.43084836,32115.44718796,263.0,0.00304398,268.0,2854.18653136,,14.2267818,,0.6064,,3.940116234930056,,
2016-10-22,87.0,231.0,276.0,278.0,147.0,270.0,277.0,43.0,261.0,279.0,272.0,267.0,247.0,19.0,0.0,95.0,1.0,202.0,2.0,0.0,,,,,,,,,1614335528.0,,,,0.0,2380.01014344,,0.996040778515,1.24453936,,,,,,0.000000354296,34495.4573314,34495.4573314,29514.21298688,34495.4573314,34495.4573314,34495.4573314,34495.4573314,34495.4573314,34495.4573314,34495.4573314,34495.4573314,34495.4573314,100.0,34491.0622702,34495.45712156,34495.45732804,34358.8821756,34495.44830496,34495.45730632,33081.23813,34495.32157,34495.45416816,34495.43400736,34494.33929168,34472.78982524,34044.55294372,31550.85546232,0.0,23825.0,25477.09349344,0.0,,,,,,,,,34091.98238904,32276.5024878,25477.09349344,34495.4573314,189.0,0.0021875,203.0,27717.44982244,,136.65498591,,1.37191712,,4.47246011306088,,
2016-10-23,63.0,242.0,290.0,293.0,153.0,283.0,291.0,45.0,273.0,294.0,287.0,280.0,260.0,24.0,0.0,104.0,1.0,215.0,2.0,0.0,,,,,,,,,1614335528.0,,,,0.0,2364.40970288,,0.99570910278,13.30848421,,,,,,0.000000493562,36859.86703428,36859.86703428,29279.5440194,36859.86703428,36859.86703428,36859.86703428,36859.86703428,36859.86703428,36859.86703428,36859.86703428,36859.86703428,36859.86703428,100.0,36854.64519648,36859.86680796,36859.86703092,36701.70513331,36859.85379776,36859.86699272,35261.80810948,36859.7022772,36859.86460056,36859.83950016,36858.76143136,36836.7847582,36394.76117704,33927.10616276,0.0,23825.0,26818.37536108,0.0,,,,,,,,,36353.76995392,34378.8816858,26818.37536108,36859.86703428,130.0,0.00150463,139.0,2769.651785,,20.07044002,,0.74106264,,4.261256504605513,,
2016-10-24,92.0,246.0,300.0,302.0,163.0,292.0,301.0,52.0,282.0,303.0,296.0,289.0,270.0,28.0,0.0,116.0,1.0,225.0,4.0,0.0,,,,,,,,,1614335528.0,,,,0.0,2764.52041032,,0.995839716448,7.89677574,,,,,,0.000000479002,39624.3874446,39624.3874446,6420.1195736,39624.3874446,39624.3874446,39624.3874446,39624.3874446,39624.3874446,39624.3874446,39624.3874446,39624.3874446,39624.3874446,100.0,39617.24544552,39624.38723476,39624.38744124,39459.53875724,39624.37378584,39624.38741952,37933.14072672,39624.2213928,39624.38433832,39624.35948824,39623.33330936,39602.30013488,39147.87738016,36488.42319704,0.0,23825.0,29824.85217196,0.0,,,,,,,,,38961.39976436,36682.49012408,28515.01708008,39624.3874446,184.0,0.00212963,193.0,5017.79317881,,26.22963881,,1.26714016,,4.091714191796933,,
2016-10-25,195.0,278.0,361.0,366.0,199.0,352.0,364.0,69.0,317.0,367.0,357.0,349.0,304.0,40.0,0.0,149.0,1.0,255.0,3.0,0.0,,,,,,,,,1614335528.0,,,,0.0,5275.35787792,,0.996471336552,3.81722416,,,,,,0.00000057686,44899.74532252,44899.74532252,10593.2240962,44899.74532252,44899.74532252,44899.74532252,44899.74532252,44899.74532252,44899.74532252,44899.73388252,44899.74532252,44899.74532252,100.0,44892.41151916,44899.74488844,44899.74531916,44741.30923236,44899.72755716,44899.74527104,42630.06843164,44898.81170564,44899.741992,44899.70916844,44897.85644476,44877.06289192,44386.65009948,40622.59850288,0.0,23825.0,30796.669323,0.0,,,,,,,,,43603.06771684,40195.23812344,30796.669323,44899.74532252,346.0,0.00400463,362.0,11762.4072924,,34.22942015,,0.2696868,,3.8869422819410975,,
2016-10-26,93.0,291.0,383.0,388.0,208.0,373.0,386.0,69.0,334.0,391.0,379.0,370.0,322.0,45.0,0.0,164.0,1.0,270.0,4.0,0.0,,,,,,,,,1614335528.0,,,,0.0,4061.70512752,,0.996154173769,1.73958531,,,,,,0.000000663587,48961.45045004,48961.45045004,36384.00525936,48961.45045004,48961.45045004,48961.45045004,48961.45045004,48961.45045004,48961.45045004,48734.91584476,48961.45045004,48961.45045004,100.0,48952.4201852,48961.45001364,48961.45044436,48773.1532196,48961.42953964,48961.45039624,46178.68495912,48960.389977,48961.4471172,48961.40687092,48959.46068524,48937.33076872,48451.578358,44468.45950312,0.0,23815.0,33126.14918844,0.0,,,,,,,,,47319.04005928,43796.19674076,31511.14918844,48961.45045004,137.0,0.00158565,146.0,28145.47240268,,193.087432,,1.53052032,,4.140267123438627,,
