time,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-07-08,2.0,,1.0,,,,,,,,1.0,0.0,0.0,0.0,,,,,,0.0,,,,
2020-07-09,0.0,,0.0,,,,,,,,1.0,0.0,0.0,0.0,,,,,,0.0,,,,
2020-07-10,3.0,,10.0,,1.1,,,,,,11.0,1.0,1.0,10.0,,10.0,,10.0,,10.0,,,,
2020-07-11,0.0,,0.0,,,,,,,,11.0,0.0,0.0,0.0,,,,,,0.0,,,,
2020-07-12,0.0,,0.0,,,,,,,,11.0,0.0,0.0,0.0,,,,,,0.0,,,,
2020-07-13,0.0,,0.0,,,,,,,,11.0,0.0,0.0,0.0,,,,,,0.0,,,,
2020-07-14,3.0,,1.0,,,,,,,,1.0,0.0,0.0,0.0,,,,,,0.0,,,,
2020-07-15,0.0,,0.0,,,,,,,,1.0,0.0,0.0,0.0,,,,,,0.0,,,,
2020-07-16,0.0,,0.0,,,,,,,,1.0,0.0,0.0,0.0,,,,,,0.0,,,,
2020-07-17,48.0,,13708.0,,0.91592932482,,,,,,11714.572493926399788031,69.0,159.0,12789.821415782235,,162.248174490716024172,,50.01924875670685,,25797.459744023847843326,,,,
2020-07-18,347.0,,35165.0,,0.481214774444,,,,,,46759.572493926399788031,1232.0,1977.0,97169.86048068873,,77.560761734094674556,,29.967765602747967,,153337.62594830517159677,,,,
2020-07-19,145.0,,14392.0,,1.053055283758,,,,,,60943.572493926399788031,479.0,765.0,57873.09881439235,,109.071726431483954221,,40.0,,83439.870720085224978838,,,,
2020-07-20,104.0,,9305.0,,3.132288974463,,,,,,68426.572493926399788031,304.0,449.0,21845.549070280522,,100.815463244653998376,,69.5243074694016,,45266.142996849645270732,,,,
2020-07-21,86.0,,2159.0,,4.152761954955,,,,,,66997.572493926399788031,248.0,371.0,16133.25618483722,,74.783116299771126116,,32.098269904674154,,27744.536147215087789144,,,,
2020-07-22,64.0,,4140.0,,4.874180666638,,,,,,70786.572493926399788031,137.0,213.0,14522.763380198046,,124.504305296857719395,,100.0,,26519.417028230694231185,,,,
2020-07-23,88.0,,2738.0,,4.090523775,,,,,,72461.572493926399788031,145.0,260.0,17714.497330829854,,125.569478676504354039,,88.3066669518011,,32648.064455891132050208,,,,
2020-07-24,66.0,,8737.0,,3.951275519836,,,,,,80973.572493926399788031,157.0,274.0,20493.02107317909,,150.454157790965713698,,106.5,,41224.439234724605553136,,,,
2020-07-25,60.0,,20862.0,,3.152112062119,,,,,,100554.572493926399788031,101.0,147.0,31900.69721896662,,269.641104019976352675,,91.89659618646961,,39637.242290936523843196,,,,
2020-07-26,76.0,,3116.0,,0.989592997059,,,,,,86217.572493926399788031,191.0,323.0,87124.27508092643,,346.043936462024388284,,161.46962593068872,,111772.191477233877415659,,,,
2020-07-27,92.0,,15023.0,,1.378050094218,,,,,,87549.572493926399788031,188.0,277.0,63531.48761520368,,326.735128522024888718,,156.63065720963132,,90505.630600600894174854,,,,
2020-07-28,100.0,,11187.0,,1.607490726806,,,,,,91564.572493926399788031,267.0,375.0,56961.18239875204,,189.001019760427046561,,87.62724080392802,,70875.382410160142460309,,,,
2020-07-29,81.0,,12465.0,,5.400961274319,,,,,,102147.572493926399788031,157.0,286.0,18912.850380845368,,128.535686328148778746,,81.6337983428605,,36761.206289850550721218,,,,
