time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2024-03-28,1657001780.04599293683435154304,,,,,,,
2024-03-29,1714833933.9996786026117403825,,,,,,,
2024-03-30,1759714493.21596721687993773104,,,,,,,
2024-03-31,1855057360.76581948555096171008,,,,,,,
2024-04-01,1813344589.20862972895932881504,,,,,,,
2024-04-02,1754198674.7446158713740830904,,,,,,,
2024-04-03,1818894855.89180972845521977166,,,,,,,
2024-04-04,1887631632.30734679700981368116,,,,,,,
2024-04-05,1930448468.5344478619667210062,,,,,,,
2024-04-06,1991283656.34314496272398286256,,,,,,,
2024-04-07,2044691061.6030366519073308768,,,,,,,
2024-04-08,2281216977.683199838542375217,,,,,,,
2024-04-09,2194530975.05468042547591399972,,,,,,,
2024-04-10,2318981432.521040392346801574,,,,,,,
2024-04-11,2357756448.32693099952777262896,,,,,,,
2024-04-12,2208205420.3393813389588814803,,,,,,,
2024-04-13,2088417575.92779019227568577028,,,,,,,
2024-04-14,2174528872.49098353141866052012,,,,,,,
2024-04-15,2163001806.80000336335579823286,,,,,,,
2024-04-16,2199652216.6279350633836722098,,,,,,,
2024-04-17,2146888961.8350351845357215107,,,,,,,
2024-04-18,2214409389.5122158713100733614,,,,,,,
2024-04-19,2223391039.66075970619852308064,,,,,,,
2024-04-20,2371019449.5740028515025299688,,,,,,,
2024-04-21,2377523067.16987559762011455014,,,,,,,
2024-04-22,2433851610.81439850128796000616,,,,,,,
2024-04-23,2511711003.44326145783907947514,,,,,,,
2024-04-24,2478491592.06934927279382391137,,,,,,,
2024-04-25,2515775828.27919558804812862336,,,,,,,
2024-04-26,2529469481.65247657751853688375,,,,,,,
2024-04-27,2650264426.033323660619113846,,,,,,,
2024-04-28,2680497793.23419330439910025878,,,,,,,
2024-04-29,2664524966.738298814415678574,,,,,,,
2024-04-30,2518109487.46344314542690897635,,,,,,,
2024-05-01,2539765184.73525574045822144698,,,,,,,
2024-05-02,2556125243.75959904567970546564,,,,,,,
2024-05-03,2697502417.6946387517216529443,,,,,,,
2024-05-04,2700147472.06257633471460823835,,,,,,,
2024-05-05,3109267079.2369129057944196558,,,,,,,
2024-05-06,3065549382.76110085061893149757,,,,,,,
2024-05-07,3044808132.61578425542678697856,,,,,,,
2024-05-08,3071658913.37950321665921136,,,,,,,
2024-05-09,3166450449.6309729340346501313,,,,,,,
2024-05-10,3065475885.6061781040397613928,,,,,,,
2024-05-11,3089917888.8353664241548730268,,,,,,,
2024-05-12,3124880127.576499053662445862,,,,,,,
2024-05-13,3143079778.9172230580557875115,,,,,,,
2024-05-14,3120769240.8177450963828198168,,,,,,,
2024-05-15,3275954957.4932529488656274256,,,,,,,
2024-05-16,3359031332.6535184675428769614,,,,,,,
2024-05-17,3582050043.115192011148794444,,,,,,,
2024-05-18,3648060899.0137745195682957413,,,,,,,
