date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-07-13,,1,,,,2,,
2017-07-14,,1,,,,2,,
2017-07-15,,,,,,,,
2017-07-16,,,,,,,,
2017-07-17,,,,,,,,
2017-07-18,,,,,,,,
2017-07-19,,,,,,,,
2017-07-20,,2,,,,2,,
2017-07-21,,1,,,,2,,
2017-07-22,,,,,,,,
2017-07-23,,,,,,,,
2017-07-24,,422,,,,365,,
2017-07-25,,1120,,,,848,,
2017-07-26,,5069,,,,2963,,
2017-07-27,,1288,,,,888,,
2017-07-28,,674,,,,452,,
2017-07-29,,261,,,,191,,
2017-07-30,,133,,,,106,,
2017-07-31,,304,,,,204,,
2017-08-01,,236,,,,165,,
2017-08-02,,458,,,,301,,
2017-08-03,,1243,,,,787,,
2017-08-04,,1669,,,,964,,
2017-08-05,,604,,,,374,,
2017-08-06,,885,,,,582,,
2017-08-07,,842,,,,613,,
2017-08-08,,652,,,,421,,
2017-08-09,,506,,,,370,,
2017-08-10,,472,,,,322,,
2017-08-11,12268588.0394,1489,47736200.0,0.113092,28319900.0,1054,1461.60677569,
2017-08-12,3022424.74663,566,75747900.0,0.179455,14449400.0,433,1615.2028704,
2017-08-13,17736311.4074,3682,60916300.0,0.144317,26199000.0,2548,939.154499348,
2017-08-14,23703969.8346,3384,115398000.0,0.181307,61300700.0,2132,1113.17489575,
2017-08-15,24256955.751,1635,215024000.0,0.33015,33235400.0,1253,1980.9,
2017-08-16,9839764.35736,1186,182458000.0,0.277113,20149800.0,933,1563.4470215,
2017-08-17,37994474.0319,1588,199814000.0,0.300867,17016300.0,1341,3008.369133,
2017-08-18,10023043.5874,1349,186973000.0,0.280177,19448900.0,931,1540.9735,
2017-08-19,3647250.04595,836,153947000.0,0.229741,20150200.0,612,1275.50263037,
2017-08-20,2055242.59806,507,151521000.0,0.22612,19136800.0,418,773.913882309,
2017-08-21,8660398.7831,677,144854000.0,0.216171,18912500.0,553,1071.127305,
2017-08-22,2179053.75086,568,118968000.0,0.176904,20542100.0,455,926.623152,
2017-08-23,3200988.28207,715,124751000.0,0.185124,21797700.0,580,922.84314,
2017-08-24,2687322.39909,589,136923000.0,0.202427,8670120.0,429,958.491845,
2017-08-25,27030181.1267,3060,125500000.0,0.184535,9366220.0,2904,1806.45916571,
2017-08-26,1217259.15219,401,122187000.0,0.179665,7509990.0,338,654.5878677,
2017-08-27,1947040.507,446,124478000.0,0.182897,11480300.0,377,914.485,
2017-08-28,6493036.23572,648,122790000.0,0.180416,11391400.0,520,1048.71048797,
2017-08-29,1705183.31457,461,118226000.0,0.172808,9879820.0,415,784.029896,
2017-08-30,116045127.112,1148,113353000.0,0.165639,16132100.0,1020,1654.73361,
2017-08-31,2992305.4629,520,95859000.0,0.139913,21798500.0,441,1132.64323546,
2017-09-01,5341561.95334,508,117031000.0,0.170815,10602100.0,391,1126.24745097,
2017-09-02,5159065.91415,658,100704000.0,0.146985,13028900.0,465,1374.81174971,
2017-09-03,3849662.05558,754,86977600.0,0.12695,10973300.0,567,998.677565,
2017-09-04,9386987.9219,2768,72260900.0,0.10547,15506700.0,2222,777.581509031,
2017-09-05,7255359.32691,3302,41955900.0,0.061238,7891520.0,2683,415.58857366,
2017-09-06,17768631.9741,6534,33566000.0,0.048992,2617590.0,5447,187.993071388,
2017-09-07,7460702.7095,4799,39812900.0,0.05811,890057.0,3964,203.1281538,
2017-09-08,15116753.9177,7198,31341000.0,0.045745,3627010.0,5637,143.520312681,
2017-09-09,8865409.37464,4550,33168700.0,0.048412,835800.0,4284,265.2807853,
2017-09-10,5596901.1949,1870,31164500.0,0.045487,835852.0,1693,129.20421326,
2017-09-11,2224787.83528,1823,44624100.0,0.045212,847176.0,1621,110.56006844,
2017-09-12,1603652.49097,1374,44646900.0,0.045235,5085.0,1239,116.685133327,
2017-09-13,2022088.61708,1615,42910400.0,0.043476,560776.0,1492,173.857728493,
2017-09-14,2937613.39903,1267,38923100.0,0.039436,532320.0,1148,123.26096442,
2017-09-15,2095994.76273,1426,39003600.0,0.039517,405219.0,1422,197.585,
2017-09-16,1371245.28356,895,44590600.0,0.045178,142071.0,869,122.296846,
2017-09-17,880503.450634,843,44817600.0,0.045408,135199.0,786,129.730656,
2017-09-18,976695.787592,769,43948300.0,0.044527,175066.0,756,88.0638130267,
2017-09-19,860791.637118,704,50117700.0,0.050778,84345.0,660,87.2284171392,
2017-09-20,250057.314559,501,47439100.0,0.048064,43725.0,471,57.959007776,
2017-09-21,907760.303219,693,45299100.0,0.045896,128745.0,648,68.7705664,
2017-09-22,625114.87455,874,61278400.0,0.062086,174161.0,639,123.55114,
2017-09-23,4139674.00319,1066,68647500.0,0.069552,144667.0,1024,1363.7300975,
2017-09-24,827542.894766,998,72408800.0,0.073362,392543.0,838,126.274047589,
2017-09-25,1465713.87772,985,107844000.0,0.109264,209318.0,901,375.989164198,
2017-09-26,822582.939664,663,105489000.0,0.106878,100199.0,627,463.33109292,
2017-09-27,536360.922625,495,99097000.0,0.100402,142389.0,454,234.338268,
2017-09-28,885162.207606,420,98720900.0,0.100021,146314.0,349,216.194891395,
2017-09-29,8821945.90739,614,102869000.0,0.104224,152087.0,585,464.964765411,
2017-09-30,934349.80302,788,108184000.0,0.109609,140640.0,670,154.334899838,
2017-10-01,587624.67805,321,105518000.0,0.106908,234758.0,244,320.724,
2017-10-02,487858.605813,283,108205000.0,0.10963,103832.0,261,290.790556511,
2017-10-03,484351.025232,246,101510000.0,0.102847,138255.0,223,370.866282,
2017-10-04,428439.66014,220,100143000.0,0.101462,110372.0,211,420.260230667,
2017-10-05,471758.105357,225,97528000.0,0.098812,134367.0,194,435.365672,
2017-10-06,364039.684493,208,94761900.0,0.09601,100707.0,191,479.95399,
2017-10-07,382614.257317,259,93862400.0,0.095099,123146.0,200,488.518237456,
2017-10-08,395893.531328,249,88074700.0,0.089235,123010.0,206,368.36208,
2017-10-09,351745.822148,155,78833700.0,0.079872,76588.0,175,399.36,
2017-10-10,658897.230955,324,79224700.0,0.080268,300982.0,223,668.286826059,
2017-10-11,271797.327226,244,65552900.0,0.066416,96426.0,223,351.5581524,
2017-10-12,385505.51305,259,76466600.0,0.077474,145498.0,246,434.4143083,
2017-10-13,469389.49801,295,81159100.0,0.082228,129340.0,280,575.595999992,
2017-10-14,958466.83609,447,81359200.0,0.082431,177569.0,384,400.360990792,
2017-10-15,600958.457667,341,96638600.0,0.097911,108221.0,349,574.617335292,
2017-10-16,593929.674806,305,96416000.0,0.097686,164060.0,261,487.908942876,
2017-10-17,1074867.47487,424,97897100.0,0.099186,248093.0,350,919.676146436,
2017-10-18,700449.983496,377,91991000.0,0.093203,180520.0,350,465.6608286,
2017-10-19,694754.460516,436,92136600.0,0.09335,142962.0,392,368.21394075,
2017-10-20,537524.942889,324,87290500.0,0.08844,147662.0,309,380.104715034,
2017-10-21,739301.996765,282,86359100.0,0.087497,58840.0,267,305.4957755,
2017-10-22,497841.750179,231,80393200.0,0.081452,67630.0,240,413.092952027,
2017-10-23,321677.043561,276,77545900.0,0.078567,101585.0,252,392.756735483,
2017-10-24,387656.500788,243,75384800.0,0.076378,163303.0,239,281.450730306,
2017-10-25,297907.407018,232,73677600.0,0.074648,151472.0,213,319.633767043,
2017-10-26,823694.051878,429,72439700.0,0.073394,114657.0,399,179.88330688,
2017-10-27,708107.245779,527,72159800.0,0.07311,393531.0,478,390.77295,
2017-10-28,439198.779541,322,83659100.0,0.084761,161536.0,278,420.630785311,
2017-10-29,872578.960654,345,77578300.0,0.0786,259818.0,312,235.8,
2017-10-30,631757.179968,457,80352300.0,0.081411,342570.0,383,325.644,
2017-10-31,818440.965934,378,86746400.0,0.087889,292197.0,367,439.445,
2017-11-01,451574.127244,233,86515500.0,0.087655,279181.0,264,541.965789775,
2017-11-02,864396.12266,357,83288500.0,0.084386,551671.0,414,547.370801632,
2017-11-03,949237.605042,448,89574000.0,0.090754,804364.0,542,565.948392067,
2017-11-04,1872554.33417,1352,112722000.0,0.114207,627612.0,1403,171.312324057,
2017-11-05,1719095.50077,477,116314000.0,0.117846,489051.0,513,830.698810908,
2017-11-06,1486656.73,402,108645000.0,0.110076,375120.0,429,1099.10886,
2017-11-07,1254056.09384,438,102463000.0,0.103812,562314.0,446,629.723591995,
2017-11-08,1304011.63371,458,115081000.0,0.116597,732200.0,486,593.101218063,
2017-11-09,2010404.65214,503,126829000.0,0.1285,557149.0,532,730.207341977,
2017-11-10,1396406.80484,440,125314000.0,0.126964,401483.0,431,844.745527254,
2017-11-11,1228668.58595,391,114511000.0,0.116019,650400.0,393,676.62164781,
2017-11-12,1011498.13559,351,128760000.0,0.130456,570455.0,377,782.736,
2017-11-13,1645433.44,506,117129000.0,0.118672,586754.0,487,1186.71999999,
2017-11-14,1372009.01446,409,113110000.0,0.114599,637770.0,384,451.55103611,
2017-11-15,1019410.60802,442,109225000.0,0.110663,627420.0,398,506.670357373,
2017-11-16,1114250.54108,415,106904000.0,0.108313,677778.0,365,852.8890559,
2017-11-17,1451443.58027,415,111172000.0,0.112636,491313.0,386,572.641424,
2017-11-18,438144.660462,258,106899000.0,0.108307,453563.0,295,467.561319,
2017-11-19,537104.786611,247,114213000.0,0.115717,439347.0,291,531.702743461,
2017-11-20,489060.309492,288,113773000.0,0.115271,479031.0,343,587.762500574,
2017-11-21,511162.101836,310,114042000.0,0.115544,600951.0,344,576.56456,
2017-11-22,587821.703974,294,107754000.0,0.109173,667485.0,366,576.534735839,
2017-11-23,759654.175626,356,116088000.0,0.117617,824948.0,446,588.085,
2017-11-24,799674.403446,374,112931000.0,0.114419,859158.0,437,572.095,
2017-11-25,2655940.88729,452,106472000.0,0.107875,538207.0,523,630.71677545,
2017-11-26,3942356.17531,1011,105321000.0,0.106708,749140.0,1041,1074.39590048,
2017-11-27,2124408.51856,863,103223000.0,0.104583,2102660.0,917,978.583131,
2017-11-28,4930919.15387,1020,126456000.0,0.128122,1252560.0,1008,1093.09545653,
2017-11-29,2784956.73948,814,126418000.0,0.128083,1524000.0,777,818.354928953,
2017-11-30,2656808.47777,507,109402000.0,0.110843,2036190.0,456,1044.362746,
2017-12-01,4958150.77067,450,106403000.0,0.107805,2021420.0,432,741.171422203,
2017-12-02,1275712.70077,485,114386000.0,0.115893,1912110.0,445,929.865167628,
2017-12-03,1500653.66417,539,112966000.0,0.114454,2515190.0,525,1101.73702624,
2017-12-04,1357793.97684,421,118458000.0,0.120018,2762190.0,397,960.144,
2017-12-05,1321375.62454,280,121383000.0,0.122982,2660210.0,398,563.673343695,
2017-12-06,3191782.71379,1005,122779000.0,0.124397,8304510.0,1535,900.261089,
2017-12-07,8083013.59595,1419,192931000.0,0.195472,4717310.0,1852,1744.96900497,
2017-12-08,8114442.60219,1575,163113000.0,0.165261,2722610.0,1919,1648.478475,
2017-12-09,8557118.68524,1787,172174000.0,0.174442,1424510.0,2055,1409.80258195,
2017-12-10,5942585.11629,1111,161056000.0,0.163177,1265330.0,1378,1630.954115,
2017-12-11,9893736.6391,1676,153625000.0,0.155648,1094120.0,1939,1569.37525001,
2017-12-12,5923926.1829,903,163765000.0,0.165922,2590350.0,988,1659.22,
2017-12-13,3911851.92783,810,174228000.0,0.176523,2259650.0,871,1184.71137834,
2017-12-14,6660277.32796,1384,172842000.0,0.175118,4609020.0,1422,342.9948707,
2017-12-15,8334959.73447,1058,217746000.0,0.220614,3434420.0,983,1338.11275125,
2017-12-16,8137637.09883,1598,212892000.0,0.215697,4182410.0,1501,102.644503174,
2017-12-17,5243899.06204,1001,240175000.0,0.243338,6284440.0,1144,1327.165452,
2017-12-18,19574964.3195,1515,278588000.0,0.282258,11652600.0,1608,2137.257576,
2017-12-19,14734959.6096,1620,391771000.0,0.396931,12780100.0,1673,1984.72364922,
2017-12-20,24869328.5874,2446,381010000.0,0.386028,19471600.0,2258,2059.33546501,
2017-12-21,23147762.0316,2276,449689000.0,0.455612,19370400.0,2197,1942.14453939,
2017-12-22,11375319.404,1082,414167000.0,0.419622,11857600.0,1010,2517.732,
2017-12-23,16522032.7089,1624,332912000.0,0.337297,8250570.0,1531,2887.69893822,
2017-12-24,10761527.9795,1063,351075000.0,0.355699,6493070.0,1012,2709.6651841,
2017-12-25,16575323.8126,1212,327022000.0,0.33133,9554590.0,1093,3208.5831535,
2017-12-26,15405205.1755,1431,379418000.0,0.384416,11689600.0,1305,2828.26779628,
2017-12-27,21709710.8925,1576,411449000.0,0.416869,10264400.0,1428,4118.42201838,
2017-12-28,8912079.9836,840,387922000.0,0.393032,13967700.0,711,2292.49450022,
2017-12-29,6557601.32506,700,357008000.0,0.36171,12630800.0,584,1779.61319998,
2017-12-30,3945467.40087,687,370073000.0,0.374947,13880600.0,572,1989.60226309,
2017-12-31,4143856.82078,1069,321135000.0,0.325364,13214400.0,959,847.500123724,
2018-01-01,5438646.97085,588,352657000.0,0.357302,14426400.0,499,1786.50999998,
2018-01-02,6612214.67919,875,362684000.0,0.367461,21608200.0,687,1676.357082,
2018-01-03,7980317.69696,780,375105000.0,0.380046,28385300.0,681,2051.22263684,
2018-01-04,7147436.01938,886,424843000.0,0.430439,39705000.0,819,1902.09014081,
2018-01-05,8432378.5603,1066,503485000.0,0.510117,52703000.0,1058,1550.5516332,
2018-01-06,7929600.40909,921,513012000.0,0.519769,49606100.0,875,1974.082662,
2018-01-07,8300137.84875,962,575035000.0,0.582609,53089900.0,958,1803.17631152,
2018-01-08,7451640.21136,1180,575429000.0,0.583008,38719900.0,1008,1000.54763955,
2018-01-09,12813921.4664,962,543097000.0,0.55025,36810400.0,883,2655.45972875,
2018-01-10,5182266.9097,722,551787000.0,0.559055,40342000.0,685,2162.67072417,
2018-01-11,8777468.65062,812,567654000.0,0.57513,53791100.0,800,1515.16618188,
2018-01-12,8141905.85699,1014,514280000.0,0.521054,45092300.0,943,2138.9464961,
2018-01-13,9658099.67171,774,613083000.0,0.621158,40008300.0,771,1786.60535586,
2018-01-14,5567664.752,735,670508000.0,0.67934,39919900.0,732,2086.84851358,
2018-01-15,6253989.75246,781,578295000.0,0.585912,34862400.0,778,1919.447712,
2018-01-16,16597799.3044,1427,520366000.0,0.52722,42643200.0,1259,1111.26773629,
2018-01-17,9028679.46346,1189,326095000.0,0.33039,41490200.0,999,1651.28922,
2018-01-18,9098180.12427,840,363245000.0,0.36803,38867000.0,800,1473.51188946,
2018-01-19,4973713.54371,669,337010000.0,0.341448,30176000.0,658,937.417932561,
2018-01-20,3232888.97871,635,369254000.0,0.374118,23459400.0,571,1367.49515621,
2018-01-21,8226714.2553,589,434491000.0,0.440214,17124800.0,562,2320.57410219,
2018-01-22,3761271.40777,626,356566000.0,0.361262,22923800.0,613,3795.08747538,
2018-01-23,3562175.57004,434,343781000.0,0.348309,21135300.0,422,1392.36522748,
2018-01-24,3321747.15204,1222,349498000.0,0.354101,31788400.0,1181,586.98975751,
2018-01-25,4496033.79247,591,391907000.0,0.397069,32813200.0,520,1459.228575,
2018-01-26,3862239.36254,615,436942000.0,0.442697,32301600.0,573,1588.839533,
2018-01-27,3198922.62159,490,440217000.0,0.446015,22111100.0,461,1199.02241441,
2018-01-28,2825051.48332,517,432382000.0,0.438077,26914000.0,461,1314.231,
2018-01-29,4641652.76961,613,420314000.0,0.42585,21266700.0,536,1055.94140748,
2018-01-30,3243938.41717,525,409719000.0,0.415115,17302100.0,449,1328.368,
2018-01-31,8794234.25105,586,368184000.0,0.373034,22362000.0,470,1350.2910195,
2018-02-01,7194770.33455,558,379696000.0,0.384697,21235600.0,505,2144.68577498,
2018-02-02,6840521.11661,700,345931000.0,0.350487,16831000.0,560,3210.110433,
2018-02-03,5387844.39821,423,327249000.0,0.331559,14233100.0,347,2199.30047439,
2018-02-04,5347649.83693,571,350154000.0,0.354766,14943800.0,436,2742.64049607,
2018-02-05,3015261.10438,639,300806000.0,0.304768,13813500.0,532,1920.0384,
2018-02-06,5782705.60865,831,246944000.0,0.250196,16925100.0,695,1028.71287909,
2018-02-07,2858250.52763,656,288157000.0,0.291953,15598700.0,586,729.8825,
2018-02-08,1596718.49358,456,269959000.0,0.273515,13066600.0,385,421.88266472,
2018-02-09,2020140.97517,665,289973000.0,0.293792,17166800.0,548,361.33184288,
2018-02-10,2070340.46713,465,346511000.0,0.351075,14932000.0,437,473.92667475,
2018-02-11,1833386.80109,416,349263000.0,0.353863,11753200.0,392,355.27137474,
2018-02-12,1130970.89502,316,350380000.0,0.354994,11965000.0,316,392.18849635,
2018-02-13,1581141.49333,281,362454000.0,0.367228,10308400.0,270,848.058679533,
2018-02-14,1123297.71026,248,351222000.0,0.355848,12739500.0,226,1589.9822412,
2018-02-15,862973.859023,241,384397000.0,0.38946,12725400.0,234,863.771611254,
2018-02-16,491845.964266,154,378834000.0,0.383823,14772900.0,145,972.826606551,
2018-02-17,598789.161291,158,383619000.0,0.388672,10572900.0,179,734.59008,
2018-02-18,528792.279007,154,397286000.0,0.402519,16465300.0,162,902.814172053,
2018-02-19,853256.773935,155,363486000.0,0.368273,10634400.0,177,1286.009316,
2018-02-20,876266.040486,221,378227000.0,0.383209,9664300.0,262,1481.0602488,
2018-02-21,1550796.22914,216,358952000.0,0.36368,11532700.0,248,1453.62896,
2018-02-22,856879.507172,185,330555000.0,0.334909,12982900.0,215,1714.90466255,
2018-02-23,413128.820462,207,319841000.0,0.324054,13115700.0,228,353.025010897,
2018-02-24,651103.092807,244,340440000.0,0.344924,12486000.0,244,531.258804835,
2018-02-25,1570009.64125,186,326317000.0,0.330615,9067020.0,208,1400.20048049,
2018-02-26,1597742.43876,340,320840000.0,0.325066,8570450.0,362,69.258887026,
