time,volume_reported_spot_usd_1d
2024-01-24,53609.3299912819
2024-01-25,66294.6378187357
2024-01-26,574717.020760579
2024-01-27,9861.46104996952
2024-01-28,268219.383510338
2024-01-29,41962.3045498769
2024-01-30,5916.08227962886
2024-01-31,29468.9986937646
2024-02-01,182876.699513819
2024-02-02,55657.4951936252
2024-02-03,69447.668868975
2024-02-04,23020.4823775289
2024-02-05,72104.432367225
2024-02-06,416540.216565987
2024-02-07,485467.073512161
2024-02-08,38352.1950700128
2024-02-09,3453.8563862367
2024-02-10,1851.68280722949
2024-02-11,114770.852122439
2024-02-12,27739.2393562354
2024-02-13,173349.930197187
2024-02-14,61927.1940478419
2024-02-15,50125.0518684127
2024-02-16,32896.5807680729
2024-02-17,55715.9137812082
2024-02-18,730023.382844718
2024-02-19,64495.7683142962
2024-02-20,153326.798570237
2024-02-21,369430.218616102
2024-02-22,66921.4372464716
2024-02-23,22706.9705440867
2024-02-24,33802.5473094379
2024-02-25,152586.38083897
2024-02-26,315292.819892468
2024-02-27,151151.945728387
2024-02-28,63332.0215808853
2024-02-29,422653.302016661
2024-03-01,277268.088946163
2024-03-02,71635.7986408243
2024-03-03,155039.6667269
2024-03-04,92793.4621800392
2024-03-05,253292.807310873
2024-03-06,78495.7834811733
2024-03-07,372414.752071879
2024-03-08,198202.531808923
2024-03-09,49936.3258571708
2024-03-10,138917.376708617
2024-03-11,1819.46881971573
2024-03-12,56344.2328449088
2024-03-13,275468.834975246
2024-03-14,77598.8242391706
2024-03-15,317062.886855425
2024-03-16,76566.2177129513
2024-03-17,301144.461255722
2024-03-18,242012.800593367
2024-03-19,258506.342785911
2024-03-20,580703.856101075
2024-03-21,89353.6165416392
2024-03-22,221428.044735064
2024-03-23,112958.331205626
2024-03-24,250458.342390161
2024-03-25,253960.038803015
2024-03-26,22702.001211268
2024-03-27,345286.795134775
2024-03-28,16290.7494305559
2024-03-29,178828.261353433
2024-03-30,581471.226562451
2024-03-31,519966.50422915
2024-04-01,84692.1987057311
2024-04-02,201706.144913051
2024-04-03,108321.957480636
2024-04-04,222425.269322185
2024-04-05,279396.367529727
2024-04-06,387003.04985024
2024-04-07,31063.3850834665
2024-04-08,184345.354096334
2024-04-09,2440.73020188206
2024-04-10,256882.292429226
2024-04-11,40042.2066327105
2024-04-12,165814.340722313
2024-04-13,362344.9848231
2024-04-14,127694.845091568
2024-04-15,135255.056609476
2024-04-16,150524.444366982
2024-04-17,167879.786465919
2024-04-18,226411.74561347
2024-04-19,143825.670724488
2024-04-20,112122.581880088
2024-04-21,69049.3530528902
2024-04-22,4388.33535248282
2024-04-23,123057.636330632
2024-04-24,317668.190374743
2024-04-25,36000.6843494876
2024-04-26,44311.8674277229
2024-04-27,60963.17460804
2024-04-28,46896.238901306
2024-04-29,325799.716521898
2024-04-30,383458.318130008
2024-05-01,148456.390436194
2024-05-02,141251.575109872
2024-05-03,118751.234243754
2024-05-04,57112.2638142878
2024-05-05,143616.038856893
