date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-04-18,,11,,,,11,,
2017-04-19,,,,,,,,
2017-04-20,,,,,,,,
2017-04-21,,,,,,,,
2017-04-22,,,,,,,,
2017-04-23,,,,,,,,
2017-04-24,,1,,,,2,,
2017-04-25,,1,,,,2,,
2017-04-26,,,,,,,,
2017-04-27,,,,,,,,
2017-04-28,,,,,,,,
2017-04-29,,,,,,,,
2017-04-30,,,,,,,,
2017-05-01,,,,,,,,
2017-05-02,,1388,,,,702,,
2017-05-03,,789,,,,342,,
2017-05-04,3872874.99414,481,86866900.0,78.64,6149800.0,232,1297.71728,
2017-05-05,2696260.67759,310,97841900.0,88.58,4400090.0,181,1329.77457727,
2017-05-06,1771318.13419,559,95764700.0,86.7,7706590.0,283,1042.86351287,
2017-05-07,4134828.87173,372,126953000.0,114.93,3392570.0,183,1086.45021114,
2017-05-08,3887369.81284,631,115553000.0,104.61,4710080.0,390,1515.7989,
2017-05-09,1534721.37263,329,130135000.0,117.81,2728910.0,199,865.398413187,
2017-05-10,957522.986328,285,110261000.0,99.82,1340590.0,172,498.1018,
2017-05-11,2156458.85178,223,121109000.0,109.64,1502340.0,144,910.012,
2017-05-12,7298126.77864,151,121482000.0,109.98,966219.0,113,548.8002,
2017-05-13,539672.08723,184,117301000.0,106.19,596459.0,130,1272.24184861,
2017-05-14,1112424.01147,156,123339000.0,111.66,686450.0,93,805.576824956,
2017-05-15,1715190.39123,319,123510000.0,111.81,2149280.0,130,884.081671118,
2017-05-16,1836951.43502,311,132570000.0,120.02,1782330.0,118,1161.11460485,
2017-05-17,544772.618796,232,132848000.0,120.27,1145960.0,125,873.400741203,
2017-05-18,728922.067466,301,134603000.0,121.86,1741360.0,162,924.063162619,
2017-05-19,2437583.06303,557,151276000.0,136.95,5786480.0,198,967.431920119,
2017-05-20,2015713.81372,430,185701000.0,168.12,2776440.0,154,1129.11844871,
2017-05-21,3524134.76802,589,197820000.0,179.09,4641290.0,209,1358.29691367,
2017-05-22,3593440.88873,541,234043000.0,211.88,6796350.0,224,1352.77532812,
2017-05-23,815180.493282,345,244416000.0,221.27,3339550.0,189,1089.23700254,
2017-05-24,6982750.8414,543,255003000.0,230.86,4987370.0,253,1205.51834104,
