time,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-08-28,2.0,,100000000000.0,,,,,,,,100000000000.0,0.0,0.0,0.0,,,,,,0.0,,,,
2017-08-29,3.0,,0.0,,299.91002729,,,,,,100000000000.0,2.0,2.0,333433333.0,,166716666.5,,166716666.5,,333433333.0,,,,
2017-08-30,3.0,,0.0,,2000000.0,,,,,,100000000000.0,2.0,2.0,50000.0,,25000.0,,25000.0,,50000.0,,,,
2017-08-31,4.0,,0.0,,30.62460438,,,,,,100000000000.0,3.0,3.0,3265348305.0,,1088449435.0,,565348295.0,,3265348305.0,,,,
2017-09-01,17.0,,0.0,,44.208405,,,,,,100000000000.0,26.0,25.0,2262013298.2925,,90480531.9317,,100.0,,2262013298.2925,,,,
2017-09-02,15.0,,0.0,,1106.84491103,,,,,,100000000000.0,15.0,15.0,90346894.1346,,6023126.27564,,203965.05,,90346894.1346,,,,
2017-09-03,316.0,,0.0,,4.80558499,,,,,,100000000000.0,423.0,423.0,20809121112.873272,,49194139.74674531,,385925.904096,,20809121112.873268,,,,
2017-09-04,1011.0,,0.0,,13.68111922,,,,,,100000000000.0,1360.0,1359.0,7309343512.969218,,5379888.39641223,,408237.0,,7311268330.724223,,,,
2017-09-05,1043.0,,0.0,,9.44741056,,,,,,100000000000.0,1397.0,1397.0,10584911005.01364,,7585889.9534099,,405284.9,,10597488264.913637,,,,
2017-09-06,1336.0,,0.0,,11.36719382,,,,,,100000000000.0,1540.0,1540.0,8797245968.360899,,5714430.88905021,,448511.709125,,8800223569.137329,,,,
2017-09-07,603.0,,0.0,,67.63617533,,,,,,100000000000.0,686.0,685.0,1478498740.0348058,,2179241.06669461,,299274.6161,,1492780130.685806,,,,
2017-09-08,462.0,,0.0,,14.05593375,,,,,,100000000000.0,526.0,526.0,7114433078.534226,,13540502.60564807,,398578.31,,7122304370.570884,,,,
2017-09-09,441.0,,0.0,,35.44530117,,,,,,100000000000.0,468.0,468.0,2821248421.8632956,,6115098.84189105,,289224.3635,,2861866258.005012,,,,
2017-09-10,550.0,,0.0,,57.4957099,,,,,,100000000000.0,531.0,531.0,1739260201.8687022,,3458125.69949411,,257900.0,,1836264746.431373,,,,
2017-09-11,803.0,,0.0,,37.19771183,,,,,,100000000000.0,642.0,642.0,2688337402.23845,,4277391.91685384,,422811.95,,2746085610.620167,,,,
2017-09-12,365.0,,0.0,,154.81422333,,,,,,100000000000.0,329.0,329.0,645935482.193666,,2053197.69429607,,334301.203768,,675502041.423407,,,,
2017-09-13,391.0,,0.0,,108.52134851,,,,,,100000000000.0,384.0,384.0,921477675.7882309,,2418441.22647332,,126760.563,,928681430.965753,,,,
2017-09-14,283.0,,0.0,,75.58319284,,,,,,100000000000.0,334.0,334.0,1323045458.094623,,3997227.86578573,,107751.5,,1335074107.172434,,,,
2017-09-15,176.0,,0.0,,438.35514262,,,,,,100000000000.0,169.0,169.0,228125531.73925704,,1406511.30143706,,204795.0,,237700409.942863,,,,
2017-09-16,151.0,,0.0,,763.73378567,,,,,,100000000000.0,204.0,204.0,130935676.64135699,,674498.44630416,,99599.9999175,,137597683.046048,,,,
2017-09-17,187.0,,0.0,,812.4939079,,,,,,100000000000.0,258.0,258.0,123077845.91065499,,568690.939665,,166324.0,,146722262.433571,,,,
2017-09-18,383.0,,0.0,,183.34737592,,,,,,100000000000.0,463.0,463.0,545412769.0552219,,1278953.14700191,,102250.0,,592155307.061884,,,,
2017-09-19,303.0,,0.0,,190.4297623,,,,,,100000000000.0,377.0,377.0,525127998.85656506,,1445806.89064652,,100000.0,,545069197.773739,,,,
2017-09-20,264.0,,0.0,,522.34755225,,,,,,100000000000.0,310.0,310.0,191443416.493375,,661251.49199471,,110949.953,,204987962.518359,,,,
2017-09-21,252.0,,0.0,,478.35571282,,,,,,100000000000.0,363.0,363.0,209049452.78338003,,697090.1886545,,95421.687,,253043738.481584,,,,
2017-09-22,1776.0,,0.0,,1046.97182725,,,,,,100000000000.0,1801.0,1801.0,95513553.849021,,56731.46042542,,0.131515,,102173360.22619,,,,
2017-09-23,4172.0,,0.0,,9.87805762,,,,,,100000000000.0,5616.0,5616.0,10123447729.785925,,1803507.72567147,,0.4081335,,10128499387.370961,,,,
2017-09-24,4846.0,,0.0,,6.62913185,,,,,,100000000000.0,4857.0,4856.0,15084931519.056938,,3110391.23987575,,0.0750435,,15104059860.836634,,,,
2017-09-25,7860.0,,0.0,,447.98638517,,,,,,100000000000.0,7873.0,7873.0,223221069.45763,,32434.86048681,,0.071144,,255359656.61263,,,,
2017-09-26,8948.0,,0.0,,351.89530545,,,,,,100000000000.0,8941.0,8941.0,284175430.73291594,,33214.95229838,,0.073797,,296974888.499835,,,,
2017-09-27,9973.0,,0.0,,5.48427761,,,,,,100000000000.0,9973.0,9973.0,18233942036.372856,,1830213.92147758,,0.075092,,18252723438.895896,,,,
2017-09-28,8419.0,,0.0,,84.52359845,,,,,,100000000000.0,8415.0,8415.0,1183101545.9437213,,144119.26773335,,0.071906,,1212763637.976127,,,,
2017-09-29,8326.0,,0.0,,524.01583199,,,,,,100000000000.0,8322.0,8322.0,190833928.852407,,24094.68125052,,0.067612,,200515937.36683,,,,
2017-09-30,3209.0,,0.0,,1726.16389716,,,,,,100000000000.0,3185.0,3185.0,57931926.49009999,,22879.78483546,,0.08458,,72872114.700937,,,,
2017-10-01,6684.0,,0.0,,0.90760527,,,,,,100000000000.0,6692.0,6692.0,110180056930.28456,,16468619.13939704,,0.080172,,110207999280.844968,,,,
2017-10-02,6955.0,,0.0,,158.06734154,,,,,,100000000000.0,7092.0,7092.0,632641752.7168243,,139191.93129297,,0.098698,,987149176.729762,,,,
2017-10-03,7935.0,,0.0,,13.22172603,,,,,,100000000000.0,7973.0,7973.0,7563309037.974753,,976121.80699924,,0.096616,,7782619167.204911,,,,
