time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
2020-12-23,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1614261947,,,,,,,1500000000,,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,,,,,,,,,1500000000,1500000000,1500000000,1500000000,1500000000,0,0,0,0,,,,,,0,,
2020-12-24,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1614261949,,,,,,,0,,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,1500000000,,,,,,,,,1500000000,1500000000,1500000000,1500000000,1500000000,0,0,0,0,,,,,,0,,
2020-12-25,33995,257,10078,11646,41,8455,10962,11,1524,13978,12126,11914,11698,8961,63,10290,355,11096,2194,11,,,,,,,,,1614261962,,,,,,,0,,0.987097847779,5.100347686022,,5.100347686022,,,,,,,,,,0.000077868269,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,6.4093333333,1490176616.784311551931463268,1499993748.007810988410714031,1499999982.423484565612380217,1480646771.668571442565752249,1499884175.800402454874550024,1499999519.690750285683217405,1468950340.281964692806381534,1495407986.876255783515911006,1499999999.889377408871083578,1499999998.826596289698580846,1499999988.850944369738673692,1499999676.817231574526786002,1499996306.162620831704058645,1499942694.674908448849120814,1483314182.034875654433842948,1491352664.566983731040436587,1496224500.894632452354345527,1468950340.281964692806381534,,,,,,,,,1485818411.333731148509157929,1495207147.75718206468653731,1487437712.964747366773246393,1500000000,1500000000,75207,0.870451388889,86535,294097597.3287089,,4124.601540048520792867,,671.8080814907433,,0.237948262845,,
2020-12-26,12305,184,10324,13015,34,8155,11927,11,1178,16287,13791,13458,13118,8764,47,10665,247,12150,1762,11,9145,58,10998,354,4,12505,4711,14,1614261968,155682203.7494920416,17.963154213091,17.963154213091,2428992153.36216,2428992153.36216,135220803.90491370660788481067000933945008,0,0,0.990294226299,12.716128042522,,12.716128042522,,0.00006115733579230895,1.61932810224144,,,,,,,0.000101848358,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,6.4093333333,1491570245.070903518694221295,1499989204.553293698392995859,1499999969.367437532359892413,1485441339.448715147128870252,1499848123.769727909951503439,1499999233.776016951919843523,1475789525.618367470646088606,1495491364.603203482569628315,1499999999.830206635715950512,1499999998.345865202969428072,1499999982.075774922074522351,1499999499.979371004046072279,1499993349.185680422592578242,1499918832.429051598900344044,1487046249.126281012860653203,1492329045.681243585664178613,1496198794.5190545210518181,1475789525.618367470646088606,1499999786.283037672155073705,1499995970.365921997399907336,1499949231.621108231466175747,1487876690.138705034954169193,1493174748.134919451005478024,1447024958.826512388846216531,1498293871.294784452675298326,1477953222.046422057296737249,1489750459.017138777890741905,1496060351.236164844373845379,1491199598.961529487833662283,1500000000,1500000000,27081,0.3134375,33665,117960435.36083202,191016647.9324301676009453229088,4792.269327578517042734,7760.25639565758176523565826566569696,676.9722511784005,1096.24019077083472538536401672,0.345502760787,,
2020-12-27,6016,182,10284,13158,39,8009,11953,11,1149,16670,13977,13624,13265,8645,52,10662,247,12204,1734,12,8718,55,10715,260,3,12283,1861,12,1614261972,103095748.2689248752,16.880110924255,16.880110924255,1608525300.63852,1608525300.63852,95291157.02238820476263463975079881325656,0,0,0.990327795581,18.195670173575,,18.195670173575,,0.00004057190490525004,1.07235020042568,,1.61932810224144,0.0000611573357923089,0.00254688682851916,1.32474325817865,1.61932810224144,0.000106051953,96140000,96140000,86072200.156348190770393912,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,6.4093333333,1491698779.525865530635425831,1499988524.817185815830482039,1499999967.725000129094785251,1485491693.371921865754859887,1499841830.184788003854784286,1499999152.317657593267919076,1473899296.007153754827595625,1495564902.952212466708639809,1499999999.810856915310230731,1499999998.237611469949406898,1499999980.856381821273686132,1499999450.350583332837558496,1499993107.157053032198391292,1499915375.380723281795566949,1487124209.917592476255497799,1492478856.860471636310513438,1496271780.184018574647825086,1474945283.897153754827595625,1499999527.101797220777086337,1499993619.70153240037558013,1499922447.629381526090857797,1487415756.477880211200543988,1492604369.759134719423602284,1437729247.11637263740097881,1496394199.678474368726042786,1474945283.897153754827595625,1489869374.943262129265915801,1496204327.648247739821326968,1491437085.316163481724515707,1500000000,1500000000,13526,0.156550925926,17187,82437194.43642111,88401541.9764269295204177381048,7152.463447849268782835,7669.9456118385135896073455524772028,969.1914847526552,1039.312682925372185480550265536,0.427455686973,,
2020-12-28,3929,193,10397,13394,39,8038,12140,12,1150,17064,14250,13876,13504,8670,52,10784,251,12396,1711,14,8757,57,10860,264,3,12504,1905,14,1614261975,106203372.9345826886,16.574084155852,16.574084155852,1657011227.396235,1657011227.396235,99976035.58753181302206008931176524191207,0,0,0.990123063197,28.725465319038,,28.725465319038,,0.00004085431756440888,1.10467415159749,,1.07235020042568,0.0000405719049052498,0.00155756032535507,0.871875458695379,1.07235020042568,0.000108175474,96140000,96140000,81389689.20236370842249758,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,6.4093333333,1491861768.31322151415895241,1499988045.734579448190554211,1499999966.295500184850939009,1485184594.795136829542007468,1499838658.246549131696467437,1499999122.674763386553090372,1473436299.550019294482630906,1495549531.093556805019096732,1499999999.807404986109708493,1499999998.140369104305728577,1499999979.748072124288515569,1499999426.985504547669153192,1499992726.858315940668213549,1499911785.525578289216171474,1486759153.263624886541739449,1492549169.742117298780530189,1496227265.42640227025026275,1475720319.845151229788061211,1499999530.618280263119264973,1499993452.816818178262531981,1499920110.580804243727164374,1487225034.522896572359757075,1492671224.481417627956404333,1432254007.06001196054538641,1496411238.770154111997144875,1475720319.845151229788061211,1489694870.926737947230793419,1496222265.42640227025026275,1491481831.307080762714370052,1500000000,1500000000,7700,0.08912037037,9924,52218475.25672113,57684399.8519329381076489379637,7827.885611693745453023,8647.26289689998730445918887919971227,998.2058144228226,1102.692161167213102738104875274,0.47924497818,,
2020-12-29,3330,185,10372,13419,41,7939,12140,11,1116,17189,14292,13911,13528,8612,53,10769,242,12403,1692,12,8266,49,10633,220,2,12296,1500,11,1614261978,85929005.05103333672,16.320918983556,16.320918983556,1340685537.513522,1340685537.513522,82145223.492888478951672569464949088327688,0,0,0.990604269494,16.403560330145,,16.403560330145,,0.000032822286382232624,0.893790358342348,,1.10467415159749,0.0000408543175644088,0.00151217862205727,0.903998372784177,1.10467415159749,0.000112546592,96140000,96140000,83257170.564474806186893325,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,6.4093333333,1492049415.237745878091256328,1499987794.579616741593113724,1499999965.702876974067208104,1485906404.240847400557674129,1499832100.056561331963032582,1499999098.829957660589300334,1475113348.849390055059194697,1495576765.199894099224344177,1499999999.801825346444088508,1499999998.081555759091865609,1499999979.034191710118902314,1499999411.642816584815029164,1499992605.936789190623919654,1499909838.923027393630279739,1487352637.275469496040559412,1492727757.369138753041631966,1496272849.141587356783266923,1476131913.975564870289462101,1499999301.211254067596327232,1499991189.452994514151273074,1499874059.301902981710056872,1486944294.608423537782459475,1492496525.93211763489944222,1420924232.586533865192246692,1496071606.482781604171252905,1475113348.849390055059194697,1490113146.416086700458809981,1496298656.180442343168751294,1491826100.657563333694328509,1500000000,1500000000,7326,0.084791666667,10132,91443562.84918395,81731374.8070731435326465269146,13948.300876616521253794,12466.856838777967268651060936445868312,2943.683686421671,2631.036096933349284727304223508,0.573461101168,,
2020-12-30,2581,170,10606,13698,38,8062,12404,11,1099,17516,14592,14197,13813,8766,47,11014,227,12670,1695,13,8870,52,11092,239,4,12773,1885,14,1614261982,105879611.897637446,16.639023506239,16.639023506239,1651959827.81835,1651959827.81835,99282258.192553704178616804971718028175468,0,0,0.991059684377,22.924883497477,,22.924883497477,,0.00003818066569257755,1.1013065518789,,0.893790358342348,0.0000328222863822326,0.00122113135193912,0.7292795008195,0.893790358342348,0.000118089629,96140000,96140000,83653639.990631868532641363,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,6.4093333333,1491990837.869429576039889512,1499987570.177074316611850229,1499999964.987517553515959207,1486589526.566084980368689047,1499823802.705328799962963884,1499999089.347179089728615751,1476343152.939623902402349784,1495489731.15383140411048841,1499999999.79936613597562338,1499999997.992151882725334758,1499999978.971328055431787917,1499999404.910496095131581182,1499992502.689625113735133101,1499905051.327770265638454284,1487655654.581070374317826723,1492658363.031293176270040549,1496211534.755251551291150474,1478545708.566580236020854639,1499999504.037456167837506545,1499993251.521526243594580819,1499914992.696572955994781969,1488138757.216004390915317982,1492772809.549422313088560489,1444441043.733641727595971302,1496391847.098773989243285957,1479488829.041330272466631706,1490472247.497892040819367013,1496266615.73033205567021732,1492064084.776503364598964308,1500000000,1500000000,6347,0.073460648148,8394,65431084.967785195,72059682.5715668397924988528855,11568.435916185061882306,12740.3942694857939060590396749647434,3586.3475492634266,3949.66805331864780033528223874,0.638198068555,,
2020-12-31,2376,178,10875,14050,40,8262,12733,11,1135,17945,14953,14554,14166,8969,53,11295,236,13003,1753,12,9292,60,11568,286,4,13282,2660,13,1614261984,131253924.0205340422,16.965561921051,16.965561921051,2047856105.999595,2047856105.999595,120706647.709592776618169979417530545531422,0,0,0.990621278999,30.784193213889,,30.784193213889,,0.000047040376972530615,1.36523740399973,,1.1013065518789,0.0000381806656925774,0.0014660472977973,0.895470377187378,1.1013065518789,0.000121524093,96140000,96140000,82145194.415080188367522467,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,96140000,6.4093333333,1491806757.126911444983783515,1499987215.57969845462535698,1499999964.743952105734867852,1485931918.49803893220150679,1499818707.740465806110558517,1499999073.866036855292979914,1476207025.960879632130992645,1495394198.352057579647960128,1499999999.795214667369931912,1499999997.973080033328818319,1499999978.792639399772128658,1499999394.601916618771673847,1499992293.760916369470632337,1499900500.368175294901078614,1487487641.721704168535273154,1492482658.574633868013656169,1496141263.697390273891087719,1477215154.550740219831330675,1499999638.498247439332869583,1499994631.08382485529344115,1499928465.80435155521835752,1488106779.98494056638760135,1492903416.236653015890207711,1443974664.717321293009264949,1496900833.812256234127522513,1478115154.550740219831330675,1490088788.226038281362362959,1496181815.83888995129355218,1491821536.497860590727549633,1500000000,1500000000,5904,0.068333333333,7597,48726305.39894277,66522974.6893506555569113654521,9472.653601570240826561,12932.42101199644829323652992262082853,2720.4708274732743,3714.088530156610357588499415939,0.686173901495,,
2021-01-01,2251,147,10914,14160,33,8232,12816,11,1045,18104,15078,14667,14277,8939,44,11332,190,13097,1678,12,9095,50,11456,210,4,13251,1991,16,1614261987,114894642.3933658301,15.926996237137,15.926996237137,1725317485.134135,1725317485.134135,108326608.448065862690005575683433122976316,0,0,0.991469900674,40.267563761617,,40.267563761617,,0.00003914855337375833,1.15021165675609,,1.36523740399973,0.0000470403769725307,0.00184734729410298,1.11561158294223,1.36523740399973,0.00012391889,99890000,99890000,86936706.509323752670420932,99890000,99890000,99890000,99890000,99890000,99890000,99890000,99890000,99890000,6.6593333333,1492088889.99182460562733971,1499986993.109467700906534625,1499999964.534228250811720785,1487204851.010565795866339313,1499815051.13491322796437435,1499999048.894729742441680607,1476001997.629811042843464265,1495347751.306753914953213352,1499999999.796021356997608744,1499999997.905232336110342193,1499999978.771701299766789454,1499999383.237355028945587553,1499992064.341886689767053532,1499896750.963803709421520859,1488516263.621363686188695125,1492589776.554166368090479069,1496112623.667557895710062716,1477110587.675520697513289472,1499999528.266054107091168204,1499993224.293221118252255214,1499911435.076064906685841466,1489081440.655872876909817089,1492774872.743943173496412235,1438359523.615179456058097643,1496402695.524464198866763764,1480775735.025531415386770533,1491161559.632867411315635785,1496239943.904193841789465556,1492499370.018665384444862121,1500000000,1500000000,4717,0.054594907407,5999,37250825.72365095,42846333.9711329343868684467855,8341.038933952565153949,9593.96021128863071874376921679329941,1191.0413748237727,1369.949673001102778525097500743,0.719532496539,,
