time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-07-30,,,,,,,2657216.17554733
2025-07-31,,,,,,,1960213.8769206
2025-08-01,,,,,,,2239719.30546139
2025-08-02,,,,,,,1578072.91516729
2025-08-03,,,,,,,1882591.74569259
2025-08-04,,,,,,,3853959.42632394
2025-08-05,,,,,,,1614096.48425555
2025-08-06,,,,,,,2103333.95574374
2025-08-07,,,,,,,2143186.10633067
2025-08-08,,,,,,,1675400.16163332
2025-08-09,,,,,,,3804505.94601294
2025-08-10,,,,,,,4471413.10900215
2025-08-11,,,,,,,8916260.15420548
2025-08-12,,,,,,,3866896.35449843
2025-08-13,,,,,,,3898184.49041559
2025-08-14,,,,,,,3584690.98374858
2025-08-15,,,,,,,2466184.70645985
2025-08-16,,,,,,,2608723.17957617
2025-08-17,,,,,,,1690263.60361207
2025-08-18,,,,,,,2400105.61832834
2025-08-19,,,,,,,2542154.28566827
2025-08-20,,,,,,,3750252.98412543
2025-08-21,,,,,,,1910728.30518112
2025-08-22,,,,,,,2534257.30900139
2025-08-23,,,,,,,1765116.05703138
2025-08-24,,,,,,,2386448.74210609
2025-08-25,,,,,,,2209460.10632016
2025-08-26,,,,,,,1211487.35158043
2025-08-27,,,,,,,1214220.31080825
2025-08-28,,,,,,,1439189.31259321
2025-08-29,,,,,,,1959709.2213313
2025-08-30,,,,,,,1187715.65730406
2025-08-31,,,,,,,979457.667985468
2025-09-01,,,,,,,1344660.90250733
2025-09-02,,,,,,,2030142.18592785
2025-09-03,,,,,,,1329506.81914963
2025-09-04,,,,,,,1368187.97130584
2025-09-05,,,,,,,1204389.44062774
2025-09-06,,,,,,,2026284.69202953
2025-09-07,,,,,,,725460.424472926
2025-09-08,,,,,,,1076169.49842037
2025-09-09,,,,,,,1180624.23480888
2025-09-10,,,,,,,1449773.33224643
2025-09-11,,,,,,,1953192.4098454
2025-09-12,,,,,,,1896510.70674048
2025-09-13,,,,,,,1603102.8259938
2025-09-14,,,,,,,512754.261901327
2025-09-15,,,,,,,428112.023895323
2025-09-16,,,,,,,1221629.52403393
2025-09-17,536896433.2432041541257507741670416,,,,,,1226531.28493209
2025-09-18,542580453.4946812504098242339114958,,,,,,1100458.02978553
2025-09-19,523114439.360661279758401405872562,,,,,,478244.359480495
2025-09-20,532019011.4895405537630372215214792,,,,,,323149.220362284
2025-09-21,513353445.0718731874045004341737276,,,,,,581814.537877172
2025-09-22,498380106.449751148037757303374938,,,,,,1848150.79941703
2025-09-23,501971008.484609699567002099397064,,,,,,1025027.42032544
2025-09-24,506681756.423962778594473842408084,,,,,,1150732.94098841
2025-09-25,483148702.7937083455368593266168157,,,,,,1047355.56870885
2025-09-26,444065095.8041671954399003034443804,,,,,,6667743.29776485
2025-09-27,424667027.6336703927612960877349646,,,,,,1389936.46347521
2025-09-28,431600488.4632497180202708023414519,,,,,,1133882.70068324
2025-09-29,435291599.6124604145012338741471857,,,,,,2620909.59657956
2025-09-30,435870366.7501772229011345244045758,,,,,,1215582.66710646
2025-10-01,451229154.210483260302278298831512,,,,,,1359200.80700315
2025-10-02,447099976.1539256421036061776658185,,,,,,1480280.08488402
2025-10-03,446052461.3114135246503856032146608,,,,,,939533.570378443
2025-10-04,435036847.14006111362227065014568,,,,,,1617538.67825247
2025-10-05,427612943.0800955571533009858861975,,,,,,898895.118859737
2025-10-06,433915004.8828159690531157135476553,,,,,,918742.657819225
2025-10-07,422036195.3477073933770151982747989,,,,,,744439.264031426
2025-10-08,376613151.1727996852791351328148948,,,,,,5204268.26677672
2025-10-09,392752089.6873133251325816727537425,,,,,,6697043.62181009
2025-10-10,378805282.0576125878113386089049873,,,,,,4963107.80232759
2025-10-11,365690820.5845666175971763388216783,,,,,,2648406.62009528
2025-10-12,387401967.5341366590615648579564173,,,,,,3938241.98336384
2025-10-13,398661385.0674015897097332261740778,,,,,,1707252.77209904
2025-10-14,383078958.4427625535998134570965877,,,,,,3434506.87309498
2025-10-15,364548375.0495378479028352500298994,,,,,,2867046.10204394
2025-10-16,358380939.9027594670502235528916282,,,,,,2263312.97258322
2025-10-17,356992334.0610634270205095262459604,,,,,,2150003.98531253
2025-10-18,369630807.1063528079057890767915088,,,,,,976870.98588014
2025-10-19,375269689.1627302969571145969470018,,,,,,1383142.12400667
2025-10-20,388623295.0664332674811596768540544,,,,,,1487900.17698834
2025-10-21,399241581.0354668009273759765431164,,,,,,2452884.72430599
2025-10-22,387040753.27590040265939497034146,,,,,,4805068.03347902
2025-10-23,391283414.2669558376530466245594016,,,,,,4117030.91366569
2025-10-24,394528143.9120372157557915900408521,,,,,,3077484.04621117
2025-10-25,394130881.9009323618540548080977068,,,,,,1489141.55243164
2025-10-26,396242160.2198140642172786067104624,,,,,,3013661.23210756
2025-10-27,391650301.20636632020956587838062,,,,,,3952035.51433536
2025-10-28,382523949.6380780044836422540264856,,,,,,3288999.73673948
2025-10-29,369600974.013929237274347221574358,,,,,,4141164.63472484
2025-10-30,359080571.3822051512146290087412416,,,,,,5267803.9555337
2025-10-31,366198236.512061795328356492045552,,,,,,3563831.19189593
2025-11-01,364319145.2524546577378697830725344,,,,,,1614596.25877708
2025-11-02,358676192.915808990501776520049248,,,,,,1636577.4316864
2025-11-03,344691947.323707793455502309435482,,,,,,5182374.82831152
2025-11-04,322169838.93375011096166920036000064,,,,,,8030246.97216895
2025-11-05,341903532.6728912202347061845368928,,,,,,5633887.32001978
2025-11-06,328107108.57997117020494946143314158,,,,,,4469223.43466372
2025-11-07,339561213.385371560656117588614329,,,,,,6509828.02859969
2025-11-08,335135465.54361963904488144597752868,,,,,,2437594.05230702
2025-11-09,337346310.2497931468995747800566038,,,,,,3186721.09476909
2025-11-10,339286152.1134902801827316813974536,,,,,,3619808.92291975
2025-11-11,327285956.27193836458800675688182546,,,,,,4392287.81924541
2025-11-12,310178062.10588946917259300222416932,,,,,,4348215.74030976
2025-11-13,265037338.30533397831607620368952358,,,,,,9283286.26527765
2025-11-14,267219370.69681854978367823401478166,,,,,,9967261.75991686
2025-11-15,285365915.21352943408184314707738168,,,,,,5271124.74585176
2025-11-16,269950274.1974679540516747743302539,,,,,,6751625.73255465
2025-11-17,252181088.70600832174554465595780986,,,,,,10591008.3125592
2025-11-18,257679834.57511846670446772643019154,,,,,,10862804.0038314
2025-11-19,252560118.63644935531817557767113682,,,,,,9167901.19442762
2025-11-20,241227003.41098974691337914550329082,,,,,,7906286.19749506
2025-11-21,240072441.6360711007980685785972774,,,,,,10539734.6804366
2025-11-22,240313969.74378158882867842869918138,,,,,,4043873.94045664
2025-11-23,248778208.76004164549836877566534608,,,,,,5758422.95783437
2025-11-24,261707646.67230735508547991660577966,,,,,,7166856.21424357
2025-11-25,263245700.18740757281636741755232034,,,,,,12094991.3656669
2025-11-26,274243176.10682269233387786107415702,,,,,,14709061.5040466
2025-11-27,305447746.07955937941080230781136777,,,,,,16996273.0567769
2025-11-28,315499897.50873230273538052757628366,,,,,,17163146.7752825
2025-11-29,307908181.84936165519346260676393372,,,,,,8088336.02083371
2025-11-30,310413498.81677861082604135534806723,,,,,,8415327.10505971
2025-12-01,298865264.31061412463583651560839283,,,,,,18963093.8579002
2025-12-02,315948689.46694323766574679828050176,,,,,,18378598.2934597
2025-12-03,321659086.4307781426649991011924115,,,,,,17975336.1547164
2025-12-04,327540743.34694913959787263975705845,,,,,,17674670.698758
2025-12-05,313790724.2592213466802516162280189,,,,,,18797046.0612174
2025-12-06,313307346.31792841218582415083578345,,,,,,11391217.1339414
2025-12-07,323067764.0853919465582079336441562,,,,,,15670790.6320602
2025-12-08,326415780.74147362230555077149708652,,,,,,14704685.5266938
2025-12-09,333464121.55891870273908615595753404,,,,,,12736877.6821993
2025-12-10,333379529.00577239761001442037613562,,,,,,16308458.3475426
2025-12-11,322727979.00185644882413734562772437,,,,,,12601110.0952557
2025-12-12,315796824.18877844138519537856536358,,,,,,19573612.5239666
2025-12-13,316519076.86811195199445833019000204,,,,,,14162556.8747072
2025-12-14,313255578.9407822207689594824402879,,,,,,10436533.790526
2025-12-15,296628363.10266787454280896906803485,,,,,,9672295.91661103
2025-12-16,293891110.44849730535742751796190507,0.0858030763979877,0.000000993636509100774,0.0000289658611983294,0.0730360518131395,0.0858030763979877,7109468.7129827
2025-12-17,285083941.26128126398799486010969073,0.0850110781065341,0.00000096876039834724,0.0000287367046672164,0.0723502222440227,0.0850110781065341,15843550.2063811
2025-12-18,280006470.87314842280907448129044221,0.0824635006250221,0.000000958214381713839,0.0000291731982076671,0.0702210684845427,0.0824635006250221,22756343.872029
2025-12-19,294631409.40521130949393400020585489,0.0796552368412819,0.000000932357808599874,0.0000281808372939202,0.0679452970701818,0.0796552368412819,15857435.2842117
2025-12-20,290321504.66243760544507120742234472,0.0838156859905099,0.000000950635330308905,0.000028121610523337,0.0715734915279998,0.0838156859905099,4846477.33617781
