time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2023-08-05,260538034.229584251136641,,,,,,,
2023-08-06,260322164.195415836433831,,,,,,,
2023-08-07,260410483.984979665203201,,,,,,,
2023-08-08,260638341.65057348807292,,,,,,,
2023-08-09,260504576.83478758951917,,,,,,,
2023-08-10,260395217.92970988459471,,,,,,,
2023-08-11,260444778.163022167993359,,,,,,,
2023-08-12,260440069.516453323983358,,,,,,,
2023-08-13,260257016.835443824871544,,,,,,,
2023-08-14,260283075.071761376005977,,,,,,,
2023-08-15,260358701.806800321967863,,,,,,,
2023-08-16,260421295.332885660308538,,,,,,,
2023-08-17,260386167.709004467426551,,,,,,,
2023-08-18,260492209.965868985787051,,,,,,,
2023-08-19,260566677.71693897924178,,,,,,,
2023-08-20,260615110.4676516805866,,,,,,,
2023-08-21,260605128.78003597162732,,,,,,,
2023-08-22,260483844.09576686341419,,,,,,,
2023-08-23,260600933.18018923867152,,,,,,,
2023-08-24,260541349.376958651521583,,,,,,,
2023-08-25,324031944.2639046353171669,,,,,,,
2023-08-26,323989135.42666582262657778,,,,,,,
2023-08-27,323948598.05931360696276918,,,,,,,
2023-08-28,323716457.15754135898046134,,,,,,,
2023-08-29,324827120.28079553772860552,,,,,,,
2023-08-30,324778745.88020509073719058,,,,,,,
2023-08-31,324791464.46999477769415704,,,,,,,
2023-09-01,362330462.3647699005578379,,,,,,,
2023-09-02,382406955.91082407847932526,,,,,,,
2023-09-03,382445824.21296248307914542,,,,,,,
2023-09-04,382348765.80291003370467336,,,,,,,
2023-09-05,382470728.18403174882199426,,,,,,,
2023-09-06,382349467.13586350434371404,,,,,,,
2023-09-07,394390590.24829998620422256,,,,,,,
2023-09-08,393763820.2150855983477232,,,,,,,
2023-09-09,393816774.12297386289091376,,,,,,,
2023-09-10,393692682.24053872798693696,,,,,,,
2023-09-11,393619463.51350807978558888,,,,,,,
2023-09-12,393812243.66819487280650288,,,,,,,
2023-09-13,393946332.60096779161889584,,,,,,,
2023-09-14,394072396.8460012070099984,,,,,,,
2023-09-15,393985056.13146559622087336,,,,,,,
2023-09-16,394032116.90837456287043912,,,,,,,
2023-09-17,393990634.16256136573359144,,,,,,,
2023-09-18,393987229.03544372909200888,,,,,,,
2023-09-19,393845624.98522109300159392,,,,,,,
