time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AssetEODCompletionTime,IssTotNtv,NDF,NVTAdj,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValMeanNtv,TxTfrValMedNtv,VelCur1yr,principal_market_price_usd,principal_market_usd
2017-08-22,3,1,2,2,1,2,2,1,1,2,2,2,2,2,1,2,1,2,1,1,1614334987,200000000,0.9999995,2000000,,,,,,0,100,100,100,100,100,100,100,100,100,100,100,100,0.00005,199999900,200000000,200000000,199999900,200000000,200000000,199999900,199999900,200000000,200000000,200000000,200000000,200000000,200000000,199999900,199999900,199999900,199999900,200000000,199999900,199999900,200000000,2,0.00002315,2,100,50,50,0.0000005,,
2017-08-23,0,1,2,2,1,2,2,1,1,2,2,2,2,2,1,2,1,2,1,1,1614334987,0,0.9999995,,,,,,,0,100,100,100,100,100,100,100,100,100,100,100,100,0.00005,199999900,200000000,200000000,199999900,200000000,200000000,199999900,199999900,200000000,200000000,200000000,200000000,200000000,200000000,199999900,199999900,199999900,199999900,200000000,199999900,199999900,200000000,0,0,0,0,,,0.0000005,,
2017-08-24,0,1,2,2,1,2,2,1,1,2,2,2,2,2,1,2,1,2,1,1,1614334987,0,0.9999995,,,,,,,0,100,100,0,100,100,100,100,100,100,100,100,100,0.00005,199999900,200000000,200000000,199999900,200000000,200000000,199999900,199999900,200000000,200000000,200000000,200000000,200000000,200000000,199999900,199999900,199999900,199999900,200000000,199999900,199999900,200000000,0,0,0,0,,,0.0000005,,
2017-08-25,0,1,2,2,1,2,2,1,1,2,2,2,2,2,1,2,1,2,1,1,1614334987,0,0.9999995,,,,,,,0,100,100,0,100,100,100,100,100,100,100,100,100,0.00005,199999900,200000000,200000000,199999900,200000000,200000000,199999900,199999900,200000000,200000000,200000000,200000000,200000000,200000000,199999900,199999900,199999900,199999900,200000000,199999900,199999900,200000000,0,0,0,0,,,0.0000005,,
2017-08-26,0,1,2,2,1,2,2,1,1,2,2,2,2,2,1,2,1,2,1,1,1614334987,0,0.9999995,,,,,,,0,100,100,0,100,100,100,100,100,100,100,100,100,0.00005,199999900,200000000,200000000,199999900,200000000,200000000,199999900,199999900,200000000,200000000,200000000,200000000,200000000,200000000,199999900,199999900,199999900,199999900,200000000,199999900,199999900,200000000,0,0,0,0,,,0.0000005,,
2017-08-27,0,1,2,2,1,2,2,1,1,2,2,2,2,2,1,2,1,2,1,1,1614334987,0,0.9999995,,,,,,,0,100,100,0,100,100,100,100,100,100,100,100,100,0.00005,199999900,200000000,200000000,199999900,200000000,200000000,199999900,199999900,200000000,200000000,200000000,200000000,200000000,200000000,199999900,199999900,199999900,199999900,200000000,199999900,199999900,200000000,0,0,0,0,,,0.0000005,,
2017-08-28,0,1,2,2,1,2,2,1,1,2,2,2,2,2,1,2,1,2,1,1,1614334987,0,0.9999995,,,,,,,0,100,100,0,100,100,100,100,100,100,100,100,100,0.00005,199999900,200000000,200000000,199999900,200000000,200000000,199999900,199999900,200000000,200000000,200000000,200000000,200000000,200000000,199999900,199999900,199999900,199999900,200000000,199999900,199999900,200000000,0,0,0,0,,,0.0000005,,
2017-08-29,0,1,2,2,1,2,2,1,1,2,2,2,2,2,1,2,1,2,1,1,1614334988,0,0.9999995,,,,,,,0,100,100,0,100,100,100,100,100,100,100,100,100,0.00005,199999900,200000000,200000000,199999900,200000000,200000000,199999900,199999900,200000000,200000000,200000000,200000000,200000000,200000000,199999900,199999900,199999900,199999900,200000000,199999900,199999900,200000000,0,0,0,0,,,0.0000005,,
2017-08-30,0,1,2,2,1,2,2,1,1,2,2,2,2,2,1,2,1,2,1,1,1614334988,0,0.9999995,,,,,,,0,100,100,0,100,100,100,100,100,100,0,100,100,0.00005,199999900,200000000,200000000,199999900,200000000,200000000,199999900,199999900,200000000,200000000,200000000,200000000,200000000,200000000,199999900,199999900,199999900,199999900,200000000,199999900,199999900,200000000,0,0,0,0,,,0.0000005,,
2017-08-31,0,1,2,2,1,2,2,1,1,2,2,2,2,2,1,2,1,2,1,1,1614334988,0,0.9999995,,,,,,,0,100,100,0,100,100,100,100,100,100,0,100,100,0.00005,199999900,200000000,200000000,199999900,200000000,200000000,199999900,199999900,200000000,200000000,200000000,200000000,200000000,200000000,199999900,199999900,199999900,199999900,200000000,199999900,199999900,200000000,0,0,0,0,,,0.0000005,,
