date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-06-04,,,0.0,0.861588,447.0,,,
2017-06-05,,,0.0,0.734906,8803.0,,,
2017-06-06,,,0.0,1.08,14682.0,,,
2017-06-07,,,0.0,1.43,1327.0,,,
2017-06-08,,,0.0,1.32,9030.0,,,
2017-06-09,,,0.0,1.4,1296.0,,,
2017-06-10,,,0.0,1.41,16121.0,,,
2017-06-11,,,0.0,1.31,6668.0,,,
2017-06-12,,,0.0,2.38,32334.0,,,
2017-06-13,,,0.0,3.17,2683.0,,,
2017-06-14,,,0.0,3.25,14542.0,,,
2017-06-15,,,0.0,2.95,6761.0,,,
2017-06-16,,,0.0,2.66,3477.0,,,
2017-06-17,,,0.0,2.87,10943.0,,,
2017-06-18,,,0.0,3.05,10519.0,,,
2017-06-19,,,0.0,3.73,17956.0,,,
2017-06-20,,,0.0,2.39,5647.0,,,
2017-06-21,,,0.0,2.25,2069.0,,,
2017-06-22,,,0.0,2.44,4015.0,,,
2017-06-23,,,0.0,2.1,3039.0,,,
2017-06-24,,,0.0,1.91,3231.0,,,
2017-06-25,,,0.0,1.85,3008.0,,,
2017-06-26,,,0.0,1.85,11518.0,,,
2017-06-27,,,0.0,0.974421,22946.0,,,
2017-06-28,,,0.0,1.55,10351.0,,,
2017-06-29,,,0.0,0.459457,88074.0,,,
2017-06-30,,,0.0,0.582385,24431.0,,,
2017-07-01,,,0.0,0.76005,24158.0,,,
2017-07-02,,,0.0,0.503066,9068.0,,,
2017-07-03,,,0.0,0.81655,11545.0,,,
2017-07-04,,,0.0,0.923298,16586.0,,,
2017-07-05,,,0.0,0.660474,28112.0,,,
2017-07-06,,,0.0,0.766931,13035.0,,,
2017-07-07,,,0.0,0.662619,11107.0,,,
2017-07-08,,,0.0,0.505332,4088.0,,,
2017-07-09,,,0.0,0.581255,4281.0,,,
2017-07-10,,,0.0,0.541126,3428.0,,,
2017-07-11,,,0.0,0.507854,3379.0,,,
2017-07-12,,,0.0,0.505268,7132.0,,,
2017-07-13,,,0.0,0.520207,8671.0,,,
2017-07-14,,,0.0,0.325402,3551.0,,,
2017-07-15,,,0.0,0.332789,441.0,,,
2017-07-16,,,0.0,0.37321,1015.0,,,
2017-07-17,,,0.0,0.373047,2630.0,,,
2017-07-18,,,0.0,0.455689,5561.0,,,
2017-07-19,,,0.0,0.531925,2046.0,,,
2017-07-20,,,0.0,0.484871,3820.0,,,
2017-07-21,,,0.0,0.569216,2469.0,,,
2017-07-22,,,0.0,0.533454,322.0,,,
2017-07-23,,,0.0,0.566092,760.0,,,
2017-07-24,,,0.0,0.624371,10563.0,,,
2017-07-25,,,0.0,0.405443,15174.0,,,
2017-07-26,,,0.0,0.345636,9415.0,,,
2017-07-27,,,0.0,0.305502,12578.0,,,
2017-07-28,,,0.0,0.308679,8731.0,,,
2017-07-29,,,0.0,0.305952,4928.0,,,
2017-07-30,,,0.0,0.366891,2216.0,,,
2017-07-31,,,0.0,0.369978,4867.0,,,
2017-08-01,,,0.0,0.349201,659.0,,,
2017-08-02,,,0.0,0.335707,7876.0,,,
2017-08-03,,,0.0,0.356926,5157.0,,,
2017-08-04,,,0.0,0.381819,7516.0,,,
2017-08-05,,,0.0,0.399642,4230.0,,,
2017-08-06,,,0.0,0.553367,12868.0,,,
2017-08-07,,,0.0,0.483022,11119.0,,,
2017-08-08,,,0.0,0.563025,6898.0,,,
2017-08-09,,,0.0,0.581186,9484.0,,,
2017-08-10,,,0.0,0.678626,24876.0,,,
2017-08-11,,,0.0,1.02,36974.0,,,
2017-08-12,,,0.0,0.857831,49268.0,,,
2017-08-13,,,0.0,1.25,50152.0,,,
2017-08-14,,,0.0,1.18,37161.0,,,
2017-08-15,,,0.0,1.17,45550.0,,,
2017-08-16,,,0.0,1.07,18485.0,,,
2017-08-17,,,0.0,1.3,61277.0,,,
2017-08-18,,,0.0,1.09,172621.0,,,
2017-08-19,,,0.0,0.710777,32968.0,,,
2017-08-20,,,0.0,0.862227,23245.0,,,
2017-08-21,,,0.0,0.815432,30402.0,,,
2017-08-22,,,0.0,0.808188,63122.0,,,
2017-08-23,,,0.0,0.952054,28180.0,,,
2017-08-24,,,0.0,0.865878,26453.0,,,
2017-08-25,,,0.0,0.822462,24532.0,,,
2017-08-26,,,0.0,0.829592,35277.0,,,
2017-08-27,,,0.0,0.908124,22464.0,,,
2017-08-28,,,0.0,0.882607,39623.0,,,
2017-08-29,,,0.0,0.965545,27868.0,,,
2017-08-30,,,0.0,1.03,36173.0,,,
2017-08-31,,,0.0,1.07,40880.0,,,
2017-09-01,,,0.0,1.11,53502.0,,,
2017-09-02,284956637.891,6888,0.0,1.29,48581.0,6889,3870.0,
2017-09-03,50630449.6229,862,0.0,0.959106,62297.0,863,1554.02668097,
2017-09-04,,,0.0,1.18,53019.0,,,
2017-09-05,,,0.0,0.917198,3519670.0,,,
2017-09-06,12399077.9002,1677,0.0,0.303047,6264130.0,1282,1000.0551,
2017-09-07,7174066.10599,863,0.0,0.557628,2448560.0,740,1561.17397274,
2017-09-08,10294055.9548,654,0.0,0.570241,3146830.0,545,1990.42408927,
2017-09-09,2999494.0455,443,101059000.0,0.433691,1451410.0,393,1214.97709637,
