time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,BlkSizeMeanByte,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,DiffLast,DiffMean,FeeByteMeanNtv,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,RevAllTimeUSD,RevNtv,RevUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
2016-02-08,7235,3221,4572,4572,3131,4555,4572,168,4505,4572,4572,4572,4558,3148,0,3242,1,4516,171,0,,,,,,,,,1614335089,331,2391.2326284,,,,,,0,54638.3451644899978,35675.0194461916,0.00010672,0.0495396598240469,,0.05,,84.46512,,7121.7708312,154.075625,0.422125,,0.995481132482,33.88018537,,17.59337727,,,,,,,,,,,,7206.235951200019,,0.000004457521,70236.87477532,70236.87477532,70236.87477532,70236.87477532,70236.87477532,70236.87477532,70236.87477532,70236.87477532,70236.87477532,70236.87477532,70236.87477532,70236.87477532,4.163118,1684257.75865629,1687121.7708312,1687121.7708312,1679497.89106282,1687120.74560137,1687121.7708312,839255.70750346,1687081.38990474,1687121.7708312,1687121.7708312,1687121.06560137,1687097.41581322,1684517.14784186,1681574.40234554,0,10000,842915.1347454,0,,,,,,,,,505000,927685.14646587,230000,1687121.7708312,876092.3085534,1705,0.0197338,2050,49796.7101506,,34.79712468,,2.05,,0.0422815393843597,,
2016-02-09,15783,3266,9747,9747,2963,9572,9747,174,9297,9747,9747,9747,9600,3030,0,3405,1,9346,180,0,,,,,,,,,1614335089,359,7821.57660167,,,,,,0,258564.376731119992,148829.140604156,0.00015205,0.0497602214452214,,0.05,,426.9427,,7412.56853176,159.6656,0.43744,,0.981034233584,11.07150232,,5.92853996,,,,,,,,,,,,7839.5112317600215,,0.00002121625,200370.46272348,200370.46272348,200370.46272348,200370.46272348,200370.46272348,200370.46272348,200370.46272348,200370.46272348,200370.46272348,200370.46272348,200370.46272348,200370.46272348,11.824515,1680144.27937866,1694534.33936296,1694534.33936296,1662396.19689844,1694523.82208521,1694534.33936296,860258.95948044,1694335.84132634,1694534.33936296,1694534.33936296,1694527.44828869,1694398.49348283,1681982.1112819,1670917.22673668,0,10000,868696.24730135,0,,,,,,,,,510718.02537424,1106168.73357757,495718.02537424,1694534.33936296,907384.94691022,8580,0.09930556,6129,153053.69501941,,33.64430474,,2.06,,0.163785438222891,,
2016-02-10,5469,3243,11398,11398,2836,11072,11398,178,10645,11398,11398,11398,11176,2931,0,3426,1,10720,192,0,,,,,,,,,1614335090,161,8185.68944099,,,,,,0,221498.053156959999,228174.595912554,0.00017864,0.0580866592721441,,0.05,,235.42523003,,3280.34443101,70.52165,0.19321,,0.975267947719,17.73111914,,9.60971808,,,,,,,,,,,,3515.769661040007,,0.000041666119,269586.30874341,269586.30874341,229105.6655278,269586.30874341,269586.30874341,269586.30874341,269586.30874341,269586.30874341,269586.30874341,269586.30874341,269586.30874341,269586.30874341,15.87843,1679863.95465315,1697814.68379397,1697814.68379397,1655824.24227149,1697790.66891869,1697814.68379397,874185.46260198,1697492.99852203,1697814.68379397,1697814.68379397,1697803.84908338,1697589.37703804,1682276.35206127,1667851.43009108,0,10000,894725.70254685,0,,,,,,,,,511364.58080812,1183413.79878415,576364.58080812,1697814.68379397,920163.03853297,4053,0.04690972,2687,95753.38538233,,48.68573813,,2.06,,0.240520141336429,,
2016-02-11,6910,3260,13316,13320,2826,12856,13320,182,12356,13320,13320,13316,12980,2925,0,3520,0,12439,198,0,,,,,,,,,1614335090,292,7603.15753425,,,,,,0,128034.036667160006,149393.504022381,0.00016647,0.0554274430113977,,0.06,,369.59019,,6006.83677288,128.681115,0.352551,,0.971627120328,32.65816799,,18.21418281,,,,,,,,,,,,6376.426962880017,,0.000048624139,316479.54922831,316479.54922831,154376.81764594,316479.54922831,316479.54922831,316479.54922831,316479.54922831,316479.54922831,316479.54922831,316479.54922831,316479.54922831,316479.54922831,18.574689,1681110.62790996,1703821.49876597,1703821.52056685,1655479.19758115,1703788.88978132,1703821.52056685,874766.2486206,1703450.39227044,1703821.52056685,1703821.49876597,1703804.63748297,1703558.6532701,1684535.14354421,1667926.32241748,0,0,897881.64483271,0,,,,,,,,,506082.02080812,1241244.00413835,671082.02080812,1703821.52056685,950258.95716913,6668,0.07717593,4502,52171.37474653,,15.6794033,,2.06,,0.281101802956649,,
2016-02-12,6857,3306,14613,14618,2818,14134,14618,187,13586,14618,14618,14613,14260,2931,0,3562,0,13676,200,0,,,,,,,,,1614335090,371,3747.65498652,,,,,,0,169527.161255549989,142203.528110116,0.00014636,0.0528025168655942,,0.05,,203.5009,,7898.05527544,168.415015,0.461411,,0.968315047943,32.11646286,,18.33114099,,,,,,,,,,,,8101.556175440022,,0.000046242103,354643.68902599,354643.68902599,112305.9628454,354643.68902599,354643.68902599,354643.68902599,354643.68902599,354643.68902599,354643.68902599,354643.68902599,354643.68902599,354643.68902599,20.718562,1686451.73183179,1711719.54462243,1711719.57584229,1657483.82314726,1711685.5770602,1711719.57584229,883569.24924038,1711316.51996532,1711719.57584229,1711719.54462243,1711701.54130223,1711431.48546163,1689831.98248456,1671592.01063392,0,0,901309.29858655,0,,,,,,,,,505234.34080812,1282726.33825097,735234.34080812,1711719.57584229,976999.64727771,3854,0.04460648,3001,53297.26325331,,24.66798044,,2.06,,0.323052863599831,,
2016-02-13,3004,3346,15357,15368,2797,14857,15367,187,14262,15368,15367,15358,14993,2929,0,3624,0,14361,204,0,,,,,,,,,1614335090,286,1841.74125874,,,,,,0,241217.48168207999,215942.48707084,0.00012318,0.0497554831288344,,0.05,,64.88115,,6180.52334104,131.31678,0.359772,,0.964784389542,72.75270868,,41.59968938,,,,,,,,,,,,6245.404491040016,,0.000046700705,368021.83396697,368021.83396697,78947.35841464,368021.83396697,368021.83396697,368021.83396697,368021.83396697,368021.83396697,368021.83396697,368021.83396697,368021.83396697,368021.83396697,21.422773,1690812.44139488,1717900.03787352,1717900.09918333,1657403.19848435,1717864.12118112,1717900.09857468,884834.06224044,1717462.40499335,1717900.09857468,1717900.04866987,1717881.37320463,1717592.20148183,1694486.79607774,1673812.64726075,0,0,908128.61012641,0,,,,,,,,,505846.47001346,1309773.98262023,770395.27001346,1717900.09918333,982287.96997799,1304,0.01509259,1269,23612.86789818,,29.72482527,,5.35146084,,0.343848116781605,,
2016-02-14,3985,3201,15885,15897,2719,15381,15896,186,14810,15897,15896,15886,15513,2837,0,3468,1,14897,202,0,,,,,,,,,1614335091,238,3463.70588235,,,,,,0,196710.359512010007,225406.918173243,0.00011882,0.0580609958506224,,0.05,,97.9489,,5099.27581632,108.022845,0.295953,,0.96656589662,40.27443157,,23.2961792,,,,,,,,,,,,5197.224716320013,,0.000043522904,385210.65519623,385210.65519623,69997.99575207,385210.65519623,385210.65519623,385210.65519623,385210.65519623,385210.65519623,385210.65519623,385210.65519623,385210.65519623,385210.65519623,22.356982,1694756.22024074,1722999.31602431,1722999.37499965,1665392.43577285,1722963.45922291,1722999.374391,917593.35700109,1722583.71806521,1722999.374391,1722999.32682066,1722980.21988525,1722697.98530656,1698318.32876708,1680353.0839609,0,36538.40672023,940283.34678207,0,,,,,,,,,538127.33740677,1353335.40691588,825215.53740677,1722999.37499965,996644.78512123,1687,0.01952546,1292,42781.46972291,,40.80245259,,2.05,,0.373426416754075,,
2016-02-15,3650,3191,16603,16621,2678,16086,16620,190,15482,16621,16620,16606,16224,2800,0,3467,1,15578,206,0,,,,,,,,,1614335091,250,2940.96,,,,,,0,157428.437817189988,176440.887917484,0.00013729,0.0546209956709957,,0.05,,100.9396,,5358.33006,113.15876,0.310024,,0.964604085237,46.28611892,,26.9470651,,,,,,,,,,,,5459.269660000014,,0.000043138992,402744.13833099,402744.13833099,92222.83669047,402744.13833099,402744.13833099,402744.13833099,402744.13833099,402744.13833099,402744.13833099,402744.13833099,402744.13833099,402744.13833099,23.302129,1698473.30284741,1728357.60323425,1728357.70505965,1667180.90305116,1728320.50935427,1728357.704451,932081.79486278,1727910.93030578,1728357.704451,1728357.63984442,1728338.1463942,1728036.95857121,1702124.50851398,1682629.33100319,0,36538.40672023,953823.83790922,0,,,,,,,,,541095.16908404,1387178.51723753,862229.35323984,1728357.70505965,1006223.21951623,1848,0.02138889,1857,37340.73509594,,28.60512438,,2.06,,0.40300291809307,,
2016-02-16,3014,3195,17009,17031,2656,16468,17027,190,15816,17031,17029,17012,16620,2780,0,3508,1,15927,212,0,,,,,,,,,1614335091,395,2098.95696203,,,,,,0,187656.216733959998,160498.812249773,0.00013235,0.0560687531936638,,0.05,,109.72655,,8515.919512800001,178.93176,0.490224,,0.963144514595,58.65831015,,34.39254321,,,,,,,,,,,,8625.646062800006,,0.000044840592,420132.44990901,420132.44990901,66614.61819142,420132.44990901,420132.44990901,420132.44990901,420132.44990901,420132.44990901,420132.44990901,384590.67286809,420132.44990901,420132.44990901,24.18517,1705884.74801356,1737148.95083151,1737149.06252669,1673125.59060618,1737109.66527939,1737149.05857884,937115.83030437,1736662.38296772,1737149.06114915,1737148.98331451,1737129.0290047,1736808.34551178,1710096.44437126,1688845.37078594,0,36538.40672023,966627.68687214,0,,,,,,,,,543544.09070664,1410723.5965445,878606.75357678,1737149.06252669,1018525.32137431,1957,0.02265046,2402,29614.71372195,,16.19458397,,2.06,,0.423356063802142,,
2016-02-17,3413,3217,17858,17882,2646,17288,17878,190,16596,17882,17880,17862,17451,2772,0,3564,1,16720,214,0,,,,,,,,,1614335091,282,2123.57446809,,,,,,0,289210.225006350025,251283.064279077,0.00012653,0.052183608815427,,0.05,,75.7706,,6082.285576480001,127.37186,0.348964,,0.961141603873,97.96033755,,57.53612261,,,,,,,,,,,,6158.056176480016,,0.000046539641,427361.86487609,427361.86487609,47478.11567246,427361.86487609,427361.86487609,427361.86487609,427361.86487609,427361.86487609,427361.86487609,298495.71132099,427361.86487609,427361.86487609,24.519373,1709685.99376264,1742955.77971503,1742955.91014893,1675227.4389606,1742913.7287757,1742955.90620108,938035.71974679,1742434.93057807,1742955.90877139,1742955.82489116,1742934.76858109,1742599.07312533,1714365.25697556,1691244.3732494,0,36538.40672023,970249.16291034,0,,,,,,,,,544313.19764252,1439758.96214806,906353.63871178,1742955.91014893,1023709.46714469,1452,0.01680556,1353,17792.46533663,,21.02166582,,5.15822598,,0.438264042569751,,
