date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-06-19,null,2,null,null,null,1,null,
2017-06-20,null,9396,null,null,null,8117,null,
2017-06-21,null,19276,null,null,null,13770,null,
2017-06-22,null,1,null,null,null,2,null,
2017-06-23,null,2,null,null,null,3,null,
2017-06-24,null,9,null,null,null,10,null,
2017-06-25,null,null,null,null,null,null,null,
2017-06-26,null,null,null,null,null,null,null,
2017-06-27,null,181,null,null,null,182,null,
2017-06-28,null,14533,null,null,null,13067,null,
2017-06-29,null,11344,null,null,null,9126,null,
2017-06-30,null,3163,null,null,null,2404,null,
2017-07-01,12148144.3853,2414,154009000.0,0.044377,10307200.0,1958,1106.11952812,
2017-07-02,11903883.8924,2458,152419000.0,0.043919,7502210.0,1969,1469.925011,
2017-07-03,30177376.0492,4738,148245000.0,0.042716,28853300.0,3308,1202.3445753,
2017-07-04,26705429.6049,3482,195860000.0,0.056436,18958100.0,2664,1241.592,
2017-07-05,9539364.92958,1825,197793000.0,0.056993,11487700.0,1424,1139.8599943,
2017-07-06,8060687.41135,1673,174958000.0,0.050413,10173100.0,1215,988.0948,
2017-07-07,9539144.1519,1588,174837000.0,0.050378,7012400.0,1144,1007.56,
2017-07-08,7136295.3166,1214,153115000.0,0.044119,6282280.0,877,882.38,
2017-07-09,2979452.39384,921,154011000.0,0.044378,3429300.0,740,681.611195191,
2017-07-10,8036998.17745,1331,140900000.0,0.0406,6133140.0,1061,890.475334,
2017-07-11,5962056.56778,1885,106561000.0,0.030705,7617130.0,1126,934.439489389,
2017-07-12,3581587.63672,897,87349600.0,0.025169,5178400.0,689,632.24528,
2017-07-13,2771664.45004,1053,108029000.0,0.031128,5187090.0,625,680.380803373,
2017-07-14,2109108.77646,666,97978500.0,0.028232,3055070.0,487,587.599674,
2017-07-15,1525005.73784,548,88807400.0,0.025589,2668550.0,448,465.062363388,
2017-07-16,1332685.58833,614,81697900.0,0.023541,2339710.0,464,376.656,
2017-07-17,1279757.19065,667,81819800.0,0.023576,3764400.0,510,471.75576,
2017-07-18,2172898.96543,776,90900700.0,0.026193,5126630.0,539,523.8573807,
2017-07-19,2570456.52702,758,100759000.0,0.029033,4366050.0,539,725.82470967,
2017-07-20,2668804.03407,711,92396800.0,0.026624,3753830.0,500,532.48,
2017-07-21,8722347.7906,4322,104205000.0,0.030026,11944800.0,2790,570.494,
2017-07-22,34077633.953,9058,132973000.0,0.038315,38566700.0,6456,875.648902675,
2017-07-23,86714082.0702,13925,291519000.0,0.084,159816000.0,9559,1313.21484,
2017-07-24,34350444.588,7240,291837000.0,0.084091,48405700.0,4753,840.91,
2017-07-25,10940290.661,2131,264948000.0,0.076343,52165600.0,1385,1475.20070736,
2017-07-26,6124017.40457,1689,204742000.0,0.058995,51832700.0,1115,967.518,
2017-07-27,3920572.98774,1083,206861000.0,0.059606,27039600.0,814,893.513186275,
2017-07-28,3855207.08586,992,204562000.0,0.058944,17827200.0,674,884.16,
2017-07-29,4669709.7657,1169,187715000.0,0.054089,17077400.0,626,1081.78,
2017-07-30,3380213.83845,674,186966000.0,0.053873,8438260.0,444,709.103093135,
2017-07-31,2036753.86922,785,175730000.0,0.050636,17412400.0,519,759.54,
2017-08-01,2146917.46767,806,188414000.0,0.05429,23845300.0,549,941.733984152,
2017-08-02,5955554.57699,945,191330000.0,0.055131,15754800.0,644,800.530060391,
2017-08-03,5874231.48583,1163,189374000.0,0.054567,15695800.0,726,964.790652745,
2017-08-04,4626335.78715,1503,194551000.0,0.056059,16038900.0,883,1121.18,
2017-08-05,6832403.23454,2162,197577000.0,0.056931,37828900.0,1213,1194.4408455,
2017-08-06,5410377.63303,1563,228325000.0,0.065791,24237700.0,960,1120.9072176,
2017-08-07,8814896.02883,2292,214078000.0,0.061685,40894300.0,1268,1233.7,
2017-08-08,6892823.84416,1927,246253000.0,0.070957,35787700.0,1171,1086.138799,
2017-08-09,3986913.3909,1444,251340000.0,0.072422,18237500.0,855,1086.32927578,
2017-08-10,8967461.7035,1889,225861000.0,0.06508,27412400.0,1138,996.9598692,
2017-08-11,13785084.5034,3191,227154000.0,0.065453,58822600.0,1657,1294.267622,
2017-08-12,9209977.1902,2520,271523000.0,0.078238,24574100.0,1203,1274.575258,
2017-08-13,14086564.6378,2172,237025000.0,0.068297,21679300.0,1218,1363.959387,
2017-08-14,18582727.1638,2620,221765000.0,0.0639,23224100.0,1411,1487.06888936,
2017-08-15,6914335.51802,1601,213925000.0,0.061641,19850100.0,970,1231.278975,
2017-08-16,4556748.74598,1653,210895000.0,0.060768,11186700.0,975,1211.88763145,
2017-08-17,13659482.434,2482,207867000.0,0.059896,22798200.0,1305,1300.26566682,
2017-08-18,6946338.81623,1531,211490000.0,0.06094,13896200.0,1017,1076.82465378,
2017-08-19,4515035.84876,1358,189763000.0,0.054679,12062400.0,826,1314.1277465,
2017-08-20,2677272.32616,861,189293000.0,0.054544,6738530.0,649,681.036384,
2017-08-21,3334884.25356,1284,190691000.0,0.054946,9409920.0,774,989.028,
2017-08-22,2882354.4424,916,177165000.0,0.051049,5745640.0,687,558.731305,
2017-08-23,2605384.84858,1151,173357000.0,0.049952,8995140.0,719,749.323058624,
2017-08-24,3559290.97858,1322,177990000.0,0.051287,8706810.0,741,1027.27861,
2017-08-25,4191564.30365,1308,182970000.0,0.052722,5922650.0,696,948.996,
2017-08-26,2889473.34181,881,176911000.0,0.050976,5512320.0,574,645.4530144,
2017-08-27,2510540.84823,1002,175157000.0,0.05047,6815440.0,610,969.18181969,
2017-08-28,7292108.80147,1140,179144000.0,0.051619,7486210.0,671,1032.38,
2017-08-29,3783170.60708,1241,169930000.0,0.048965,10873400.0,768,978.81035,
2017-08-30,3868002.9515,1333,171696000.0,0.049473,9555330.0,827,988.382019079,
2017-08-31,4228794.3073,1377,163779000.0,0.047192,7463400.0,765,991.459647108,
2017-09-01,4300471.43456,1439,166616000.0,0.048009,7175300.0,818,960.18,
2017-09-02,3413402.20747,1026,165116000.0,0.047577,8260080.0,729,948.68538,
2017-09-03,7074580.33766,1235,143132000.0,0.041243,6755000.0,783,824.983729,
2017-09-04,10273215.4067,3194,137412000.0,0.039594,9710210.0,2051,837.898562034,
2017-09-05,9862909.00371,2851,103796000.0,0.029908,5825530.0,2040,566.946719444,
2017-09-06,12435798.1799,3593,107741000.0,0.031045,9953750.0,2416,660.458982592,
2017-09-07,16831604.857,6101,138638000.0,0.039948,5490620.0,4329,616.474907422,
2017-09-08,23509428.9349,8418,130661000.0,0.037649,4653740.0,6178,550.624228216,
2017-09-09,5550027.90195,4513,107197000.0,0.030888,2524890.0,3256,308.849112,
2017-09-10,5989089.03735,2966,106860000.0,0.030791,2373310.0,2143,305.774318381,
2017-09-11,3538602.96802,2890,101895000.0,0.02936,2069680.0,2022,272.07101664,
2017-09-12,2557799.03796,2332,99517800.0,0.028675,2734640.0,1687,261.809366756,
2017-09-13,1772769.03389,1392,98578700.0,0.028405,1880030.0,1133,263.789234652,
2017-09-14,2446105.43323,1739,91564300.0,0.026384,1721860.0,1256,268.254288571,
2017-09-15,2345269.73517,2712,68920100.0,0.019859,2521070.0,1974,185.355017595,
2017-09-16,1791436.36468,1776,76154300.0,0.021943,1879180.0,1370,194.518910606,
2017-09-17,2045205.20393,1564,74497500.0,0.021466,1746130.0,1238,452.399351405,
2017-09-18,5627009.76356,4509,75375300.0,0.021719,3417560.0,3571,342.768871836,
2017-09-19,2242691.00157,1833,101259000.0,0.029177,2937340.0,1459,209.707523763,
2017-09-20,1202723.66939,993,84035200.0,0.024214,1865680.0,823,130.980561141,
2017-09-21,1285916.4992,949,82485300.0,0.023768,1304980.0,783,97.8257771176,
2017-09-22,982465.619143,722,73421300.0,0.021156,1173930.0,617,139.647187505,
2017-09-23,406291.11946,631,74034500.0,0.021333,869073.0,528,100.12633195,
2017-09-24,283001.578806,527,77894600.0,0.022445,826610.0,465,105.214628588,
2017-09-25,644507.371117,603,75790400.0,0.021839,781467.0,530,164.084686165,
2017-09-26,888382.897873,798,81342300.0,0.023438,3457510.0,634,230.549190622,
