time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
2021-05-06,15887,6263,15835,15884,875,15283,15884,275,13029,15886,15886,15886,15884,14744,521,15737,5127,15835,11265,37,,,,,,,,,1622044094,15886,,,,,0,,0,,0,,469213710,,0.789233366561,,,,,,,,,,,,0.000042277503,0,0,0,0,0,0,0,0,0,0,0,0,0,457272878.98,469213679.98,469213709.98,370319115.98,469203196.98,469213709.98,307146568,468830839.98,469213710,469213710,469213709.98,469213679.98,469212840.98,469168042.98,345336997.98,449336160.98,467636416.98,188167002,,,,,,,,,219667002,391716307.69428596,248667002,469213710,0,0,0,0,,,,,,0,,
2021-05-07,18,6263,15841,15893,875,15286,15891,275,13029,15902,15896,15895,15893,14746,521,15743,5127,15842,11265,37,,,,,,,,,1622044094,60,,,,,0.00004667,,0,,0.0028,,0,,0.789232411607,1041374.585011702036,,,,,,,,,,,0.000042385116,447.8311,447.8311,447.8311,447.8311,447.8311,447.8311,447.8311,447.8311,447.8311,447.8311,447.8311,447.8311,0.0000954429,457272429.9795,469213676.6074,469213708.8064,370318666.9795,469203147.8584,469213708.6064,307146568,468830390.9795,469213708.8292,469213708.8264,469213708.8064,469213678.6064,469212837.6074,469167893.8585,345336548.9795,449335711.9795,467635967.9795,188167002,,,,,,,,,219667002,391759757.42847982,249167002,469213708.8306,44,0.000509259259,56,450.5714999999999,,8.04591964,,0.01005,,0.000000960269,,
2021-05-08,164,6135,15715,15772,876,15159,15766,276,12901,15799,15787,15780,15771,14618,522,15615,4999,15717,11137,38,,,,,,,,,1622044094,186,,,,,0.0001,,0.0001,,0.0186,,0,,0.795895876332,150.062092172855,,,,,,,,,,,0.000042111409,547.844,547.844,547.844,547.844,547.844,547.844,547.844,547.844,547.844,547.844,547.844,547.844,0.0001167579,457272329.9766,469213673.82838211,469213708.61205,373445255.9766,469203147.5549,469213708.06195,310273256.9971,468830290.9766,469213708.82655001,469213708.80960801,469213708.56205,469213678.06195,469212822.0035,469167793.5551,348463137.9766,449335611.9766,467635867.9766,191293690.9971,,,,,,,,,222293690.9971,394119169.91537558,250793690.9971,469213708.8306,186,0.002152777778,372,3126797.0613798765,,8405.36844726,,0.0001,,0.006664868428,,
2021-05-09,144,6135,15667,15743,876,15110,15724,276,12852,15824,15805,15796,15736,14569,522,15565,4999,15673,11137,38,,,,,,,,,1622044094,193,,,,,0.00009275,,0.0001,,0.0179,,0,,0.79596217149,15051.264919189847,,,,,,,,,,,0.000042115116,566.9914,566.9914,364.8521,566.9914,566.9914,566.9914,566.9914,566.9914,566.9914,566.9914,566.9914,566.9914,0.0001208386,457303435.5778,469213660.66663211,469213706.8436,373476361.5778,469203123.0055,469213704.98555,310304382.9922,468830270.5778,469213707.57415,469213707.54440801,469213706.35705,469213673.00775,469212785.0041,469167769.0057,348494243.5778,449366717.5778,467666973.5778,191324816.9922,,,,,,,,,222324816.9922,394213807.86351435,251324816.9922,469213707.5792,182,0.002106481481,340,31174.37039999001,,91.68932471,,0.0001,,0.006731308044,,
2021-05-10,634,6237,15791,15893,941,15220,15873,284,12955,16127,16029,15908,15883,14675,541,15683,5098,15818,11240,45,,,,,,,,,1622044094,2436,,,,,0.00009897,,0.0001,,0.2411,,0,,0.794134039081,12.705291385431,,,,,,,,,,,0.000045092724,29999485.27889677,29999485.27889677,29999280.76027888,29999485.27889677,29999485.27889677,29999485.27889677,29999485.27889677,29999485.27889677,29999485.27889677,29999485.27889677,29999485.27889677,29999485.27889677,6.3935657038,457297648.52205318,469213595.99598529,469213684.89622434,372618559.32248594,469202797.25665318,469213682.4611089,302944772.81397802,468829113.53155318,469213685.5576089,469213685.30069932,469213684.1157089,469213647.79290317,469212660.86305318,469167194.04265318,344171662.76809991,449339702.85724967,467665816.53155318,183371405.9012,,,,,,,,,210965206.81397802,392786381.76715555,241465206.81397802,469213685.5807,2411,0.027905092593,4070,36930572.57378171,,9878.21644458,,0.0001,,0.092415810251,,
2021-05-11,6623,6260,16042,16585,947,15263,16402,283,12980,20471,17055,16665,16506,14711,543,15776,5115,16289,11265,45,16434,13277,16633,15420,1419,16738,16071,7390,1622044094,13759,11409883636.2929138085699964643,62.992103467071,172376385670.7184954652638102,2736476100.70407445411007055912,0.00009946,0.03653890729259034004,0.0001,0.0367372886513074,1.3685,502.749795193141769,0,0,0.7929469557,137.844038856558,,0.006489299448785417,367.372886513074,,,,,,,,0.00005218452,31058044.98690695,31058044.98690695,22241111.15867906,31058044.98690695,31058044.98690695,31058044.98690695,31058044.98690695,31058044.98690695,31058044.98690695,31058044.98690695,31058044.98690695,31058044.98690695,6.6191686245,457282889.41270995,469213085.20042424,469213680.79981341,372061562.70686234,469199967.77938143,469213652.39492446,302312614.15631594,468823464.68540817,469213684.38310073,469213683.1809025,469213675.16546347,469213571.63285211,469210776.47809691,469163849.40684682,343420617.45575433,449284497.83537416,467660206.91776592,183206365.9006,469213683.78676436,469213682.62020196,469213663.86358539,468922036.06651219,469205751.49972375,387868418.94637416,469213188.08134047,461294745.91786592,210850610.06843535,400723156.7725468,262850610.06843535,469213684.5123,13685,0.158391203704,27167,3403946.143805099,1250517520.384726504932371364326,136.14146436,50014.68273604998864504264,0.0001,0.0367372886513074,0.100298264201,,
2021-05-12,5045,6255,16387,17620,946,15273,17247,283,12978,22786,18555,17749,17494,14711,543,15866,5112,17042,11264,45,17287,12979,17679,15330,1013,17923,16437,6599,1622044094,12190,8430100432.71892006864172858624,47.011618582197,126947792181.039199653641465,2700349318.0962882274854947727,0.00009944,0.02690392225961890648,0.0001,0.0270554326826417,1.2122,327.9659549789826874,0,0,0.792947632085,321.084922939264,,0.005307863966560138,270.554326826417,,,367.372886513074,0.00648929944878541,0.0884006357229748,302.846401501173,367.372886513074,0.000067326418,31158623.59919872,31158623.59919872,7936787.14723727,31158623.59919872,31158623.59919872,31158623.59919872,31158623.59919872,31158623.59919872,31158623.59919872,31158623.59919872,31158623.59919872,31158623.59919872,6.6406042105,457270053.33880613,469212065.28936524,469213676.33071964,372061878.99164285,469195205.78713618,469213611.04783568,302423956.9496814,468818484.03845528,469213682.79791839,469213680.20478149,469213667.54217983,469213458.42395305,469207488.295701,469158466.58547753,343481951.5364532,449282523.2748405,467655833.99923689,183206365.9006,469213681.58808498,469213678.73023552,469213627.16514637,468818916.93148042,469197796.46094837,374871890.69389188,469212279.61009857,458696432.34840613,210944390.9496814,404604770.15080984,274444390.9496814,469213683.145,12122,0.140300925926,23952,1461338.26169644,395371389.65896672301582685548,75.00111188,20291.87533592618675653396,0.0001,0.0270554326826417,0.104126854102,,
2021-05-13,3736,6257,16335,17916,948,15283,17418,283,12980,24058,19251,18080,17748,14717,540,15906,5112,17134,11267,45,17499,13175,17978,15397,1216,18305,16422,6994,1622044094,9587,9439856422.95431690667014679085,52.437452572338,141313513877.46702026320322,2694896623.41098996985612574103,0.00009966,0.0300146934550099593,0.0001,0.0301170915663355,0.9554,287.738692824769367,0,0,0.793148784422,357.388478073743,,0.006100453068659984,301.170915663355,,,270.554326826417,0.00530786396656014,0.0680553822814629,224.717303836449,270.554326826417,0.000065447783,31343851.38804727,31343851.38804727,5696583.14315305,31343851.38804727,31343851.38804727,31343851.38804727,31343851.38804727,31343851.38804727,31343851.38804727,31343851.38804727,31343851.38804727,31343851.38804727,6.6800804565,457271870.61432954,469211700.93350197,469213671.95515777,372156260.53227123,469195283.39503916,469213582.07590093,302579522.55969709,468817182.59278487,469213680.22834771,469213676.53596274,469213660.16472619,469213370.96475936,469208080.51001528,469158351.13395196,343224506.07758158,449274918.03977628,467655310.94344461,183196365.9004,469213678.32043733,469213674.46906442,469213613.69766137,468885745.04176447,469199968.84348754,381975696.82242188,469212052.57700386,460082462.29707756,211099956.55969709,406726827.7153714,281099956.55969709,469213680.764,9554,0.110578703704,18888,1312895.3773019612,395405902.952217598908640471826,82.71240714,24910.5713950740219383547,0.0001,0.0301170915663355,0.107456407903,,
2021-05-14,2379,6260,16287,18131,949,15290,17507,283,12983,24858,19738,18338,17922,14718,540,15904,5119,17172,11266,45,17616,13179,18203,15402,1217,18596,16393,6996,1622044094,5222,9522531002.41078291124882623301,50.306152708367,142501672187.3361028022430842,2832688737.16980581598000295386,0.00009927,0.03014861182452902997,0.0001,0.0303703151249411,0.5184,157.4397136076946624,0,0,0.793119464611,736.715302761218,,0.006074379390680733,303.703151249411,,,301.170915663355,0.00610045306865998,0.0816810200784901,249.660156351549,301.170915663355,0.000063155447,31354732.28787991,31354732.28787991,5771983.0699189,31354732.28787991,31354732.28787991,31354732.28787991,31354732.28787991,31354732.28787991,31354732.28787991,31354732.28787991,31354732.28787991,31354732.28787991,6.6823994808,457278274.53656592,469211421.73992562,469213665.95769889,372142499.95915441,469195667.23177596,469213551.51691801,302638667.02949447,468817872.74783549,469213675.98143528,469213671.66839892,469213650.97026445,469213304.69283973,469208241.39986802,469158266.83717109,343132687.31602389,449311472.23075659,467653042.02734712,183196246.9003,469213673.70302543,469213668.89337696,469213593.8029026,468886899.82961521,469200266.98721667,381960567.56237216,469211861.3787857,460085019.54616592,211159101.02949447,408007015.89032375,285159101.02949447,469213676.5822,5184,0.06,10201,636899.5931312698,193428413.4634343593136029320878,70.77169049,21493.58542106097208680139,0.0001,0.0303703151249411,0.108995029857,,
2021-05-15,1881,6259,16293,18312,962,15276,17571,283,12970,25668,20310,18545,18045,14707,539,15905,5116,17195,11253,45,17617,12971,18348,15331,1015,18811,16322,6456,1622044094,4675,7914510370.40415691535302715888,42.69705183883,116802156298.9443456288575812,2735602372.26312940075299504867,0.00009932,0.02472389604759381736,0.0001,0.0248931696008798,0.4643,115.5789864568849114,0,0,0.794464122264,241.579620255205,,0.005291019597302347,248.931696008798,,,303.703151249411,0.00607437939068074,0.0743148324087441,250.626839649243,303.703151249411,0.000063018539,31793903.69848456,31793903.69848456,5413741.7247064,31793903.69848456,31793903.69848456,31793903.69848456,31793903.69848456,31793903.69848456,31793903.69848456,31793801.69848456,31793903.69848456,31793903.69848456,6.7759967977,457296750.0538951,469211462.49627168,469213664.05703488,372773431.7099229,469195457.92393853,469213531.44223413,302579342.6341678,468817769.14522847,469213675.88123481,469213670.56080891,469213645.6273309,469213252.62901484,469208239.24089544,469158214.03794466,342960772.7202241,449302992.19142848,467653882.62999372,182921246.9001,469213672.71989887,469213665.59317656,469213551.46444465,468818174.14522847,469197968.12150252,375014612.06433281,469211589.59513335,458156166.0634951,211099776.6341678,409397377.14830855,289099776.6341678,469213676.5694,4643,0.053738425926,9129,1942273.4255220804,483493417.9280292810181016633592,229.9646046,57245.4790450706301912708,0.0001,0.0248931696008798,0.113469210772,,
