time,ReferenceRate,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-11-21,,,13.2
2025-11-22,,,0
2025-11-23,,,0
2025-11-24,,,442736066.749559
2025-11-25,,,923429839.665322
2025-11-26,,,748879703.630963
2025-11-27,,,371613572.20681
2025-11-28,0.0407382764224553,0.0407382764224553,285344675.179965
2025-11-29,0.0355610855024729,0.0355610855024729,244159023.039851
2025-11-30,0.0326993676166971,0.0326993676166971,287670332.786203
2025-12-01,0.0281929893892758,0.0281929893892758,277431860.131193
2025-12-02,0.0292630974694258,0.0292630974694258,297213771.744381
2025-12-03,0.0313711258995608,0.0313711258995608,150967084.386233
2025-12-04,0.0308693435976369,0.0308693435976369,
