date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2009-01-09,,,0,,,,700.0,0.0,14,1.0,,,,3010,14,
2009-01-10,,,0,,,,3050.0,0.0,61,1.0,,,,13129,61,
2009-01-11,,,0,,,,4650.0,0.0,93,1.0,,,,20033,93,
2009-01-12,,,7,,,,4700.0,0.0,102,1.0,5,,0.0,22031,94,
2009-01-13,,,0,,,,6150.0,0.0,123,1.0,,,,26527,123,
2009-01-14,,,1,,,,6450.0,0.0,133,1.0,0,,0.0,28276,129,
2009-01-15,,,8,,,,6300.0,0.0,140,1.0,6,,0.0,30061,126,
2009-01-16,,,2,,,,5400.0,0.0,114,1.0,0,,0.0,23854,108,
2009-01-17,,,0,,,,5450.0,0.0,109,1.0,,,,23528,109,
2009-01-18,,,1,,,,5350.0,0.0,111,1.0,0,,0.0,23534,107,
2009-01-19,,,2,,,,5750.0,0.0,133,1.0,0,,0.0,26783,115,
2009-01-20,,,1,,,,5700.0,0.0,123,1.0,0,,0.0,25619,114,
2009-01-21,,,1,,,,5100.0,0.0,105,1.0,0,,0.0,22337,102,
2009-01-22,,,1,,,,4550.0,0.0,102,1.0,0,,0.0,20816,91,
2009-01-23,,,2,,,,4200.0,0.0,95,1.0,0,,0.0,19256,84,
2009-01-24,,,1,,,,10050.0,0.0,212,1.0,0,,0.0,44634,201,
2009-01-25,,,1,,,,9550.0,0.0,193,1.0,0,,0.0,41447,191,
2009-01-26,,,1,,,,4800.0,0.0,117,1.0,0,,0.0,23035,96,
2009-01-27,,,1,,,,4850.0,0.0,101,1.0,0,,0.0,21370,97,
2009-01-28,,,0,,,,5600.0,0.0,112,1.0,,,,24153,112,
2009-01-29,,,1,,,,6050.0,0.0,134,1.0,0,,0.0,27498,121,
2009-01-30,,,0,,,,5850.0,0.0,117,1.0,,,,25257,117,
2009-01-31,,,1,,,,6900.0,0.0,159,1.0,0,,0.0,32080,138,
2009-02-01,,,1,,,,5650.0,0.0,116,1.0,0,,0.0,24657,113,
2009-02-02,,,1,,,,6400.0,0.0,130,1.0,0,,0.0,27788,128,
2009-02-03,,,16,,,,6950.0,2.01,154,1.0,14,,0.0,34541,139,
2009-02-04,,,0,,,,5950.0,0.0,119,1.0,,,,25673,119,
2009-02-05,,,0,,,,6300.0,0.0,126,1.0,,,,27181,126,
2009-02-06,,,0,,,,6100.0,0.0,122,1.0,,,,26332,122,
2009-02-07,,,4,,,,6450.0,0.0,156,1.0,1,,0.0,31000,129,
2009-02-08,,,1,,,,6600.0,0.0,134,1.0,0,,0.0,28720,132,
2009-02-09,,,1,,,,6700.0,0.0,179,1.0,0,,0.0,33983,134,
2009-02-10,,,0,,,,6000.0,0.0,120,1.0,,,,25880,120,
2009-02-11,,,2,,,,6650.0,0.0,147,1.0,0,,0.0,30474,133,
2009-02-12,,,0,,,,5950.0,0.0,119,1.0,,,,25689,119,
2009-02-13,,,0,,,,6200.0,0.0,124,1.0,,,,26772,124,
2009-02-14,,,0,,,,6800.0,0.0,136,1.0,,,,29347,136,
2009-02-15,,,3,,,,6400.0,0.0,142,1.0,0,,0.0,29361,128,
2009-02-16,,,1,,,,6100.0,0.0,153,1.0,0,,0.0,29789,122,
2009-02-17,,,0,,,,5850.0,0.0,117,1.0,,,,25260,117,
2009-02-18,,,0,,,,5900.0,0.0,118,1.0,,,,25481,118,
2009-02-19,,,1,,,,6200.0,0.0,141,1.0,0,,0.0,28650,124,
2009-02-20,,,0,,,,6100.0,0.0,122,1.0,,,,26334,122,
2009-02-21,,,0,,,,5700.0,0.0,114,1.0,,,,24620,114,
2009-02-22,,,4,,,,6050.0,0.0,133,1.0,0,,0.0,27654,121,
2009-02-23,,,0,,,,5400.0,0.0,108,1.0,,,,23327,108,
2009-02-24,,,0,,,,5300.0,0.0,106,1.0,,,,22889,106,
2009-02-25,,,0,,,,5250.0,0.0,105,1.0,,,,22666,105,
2009-02-26,,,0,,,,5350.0,0.0,107,1.0,,,,23108,107,
2009-02-27,,,1,,,,5750.0,0.0,152,1.0,0,,0.0,28957,115,
2009-02-28,,,1,,,,4950.0,0.0,107,1.0,0,,0.0,22228,99,
2009-03-01,,,0,,,,5250.0,0.0,105,1.0,,,,22675,105,
2009-03-02,,,0,,,,5400.0,0.0,108,1.0,,,,23324,108,
2009-03-03,,,2,,,,5250.0,0.0,114,1.0,0,,0.0,23670,105,
2009-03-04,,,2,,,,5200.0,0.0,130,1.0,1,,0.0,25450,104,
2009-03-05,,,1,,,,5600.0,0.0,121,1.0,0,,0.0,25134,112,
2009-03-06,,,0,,,,5850.0,0.0,117,1.0,,,,25263,117,
2009-03-07,,,0,,,,5450.0,0.0,109,1.0,,,,23541,109,
2009-03-08,,,3,,,,5750.0,0.0,142,1.0,0,,0.0,28013,115,
2009-03-09,,,0,,,,5400.0,0.0,108,1.0,,,,23297,108,
2009-03-10,,,0,,,,5350.0,0.0,107,1.0,,,,23109,107,
2009-03-11,,,0,,,,5700.0,0.0,114,1.0,,,,24611,114,
2009-03-12,,,1,,,,5900.0,0.0,122,1.0,0,,0.0,25905,118,
2009-03-13,,,1,,,,5650.0,0.0,127,1.0,0,,0.0,25921,113,
2009-03-14,,,0,,,,5500.0,0.0,110,1.0,,,,23737,110,
2009-03-15,,,0,,,,6150.0,0.0,123,1.0,,,,26564,123,
2009-03-16,,,1,,,,6050.0,0.0,170,1.0,0,,0.0,31643,121,
2009-03-17,,,0,,,,5700.0,0.0,114,1.0,,,,24620,114,
2009-03-18,,,2,,,,5700.0,0.0,129,1.0,0,,0.0,26301,114,
2009-03-19,,,0,,,,6100.0,0.0,122,1.0,,,,26326,122,
2009-03-20,,,1,,,,5900.0,0.0,131,1.0,0,,0.0,26887,118,
2009-03-21,,,0,,,,2500.0,0.0,50,1.0,,,,10794,50,
2009-03-22,,,2,,,,5950.0,0.0,131,1.0,0,,0.0,27028,119,
2009-03-23,,,0,,,,6500.0,0.0,130,1.0,,,,28070,130,
2009-03-24,,,0,,,,5250.0,0.0,105,1.0,,,,22678,105,
2009-03-25,,,0,,,,5850.0,0.0,117,1.0,,,,25247,117,
2009-03-26,,,1,,,,5850.0,0.0,146,1.0,0,,0.0,28502,117,
2009-03-27,,,0,,,,5300.0,0.0,106,1.0,,,,22891,106,
2009-03-28,,,3,,,,5950.0,0.0,140,1.0,0,,0.0,28112,119,
2009-03-29,,,0,,,,5800.0,0.0,116,1.0,,,,25052,116,
2009-03-30,,,0,,,,6000.0,0.0,120,1.0,,,,25902,120,
2009-03-31,,,1,,,,5500.0,0.0,143,1.0,0,,0.0,27447,110,
2009-04-01,,,0,,,,5700.0,0.0,114,1.0,,,,24608,114,
2009-04-02,,,0,,,,5750.0,0.0,115,1.0,,,,24827,115,
2009-04-03,,,0,,,,5800.0,0.0,116,1.0,,,,25050,116,
2009-04-04,,,0,,,,5650.0,0.0,113,1.0,,,,24379,113,
2009-04-05,,,2,,,,6500.0,0.0,148,1.0,0,,0.0,30102,130,
2009-04-06,,,0,,,,5450.0,0.0,109,1.0,,,,23542,109,
2009-04-07,,,0,,,,5000.0,0.0,100,1.0,,,,21599,100,
2009-04-08,,,0,,,,5250.0,0.0,105,1.0,,,,22680,105,
2009-04-09,,,0,,,,4950.0,0.0,99,1.0,,,,21358,99,
2009-04-10,,,0,,,,5400.0,0.0,108,1.0,,,,23322,108,
2009-04-11,,,1,,,,6000.0,0.0,128,1.0,0,,0.0,26800,120,
2009-04-12,,,2,,,,5900.0,0.0,127,1.0,0,,0.0,26516,118,
2009-04-13,,,1,,,,5750.0,0.0,117,1.0,1,,0.0,25066,115,
2009-04-14,,,0,,,,6200.0,0.0,124,1.0,,,,26778,124,
2009-04-15,,,0,,,,5650.0,0.0,113,1.0,,,,24379,113,
2009-04-16,,,0,,,,6150.0,0.0,123,1.0,,,,26555,123,
2009-04-17,,,0,,,,5600.0,0.0,112,1.0,,,,24176,112,
2009-04-18,,,4,,,,6300.0,0.0,131,1.0,1,,0.0,27977,126,
2009-04-19,,,1,,,,5950.0,0.0,128,1.0,0,,0.0,26656,119,
2009-04-20,,,2,,,,5950.0,0.0,236,1.0,0,,0.0,38917,119,
2009-04-21,,,1,,,,6150.0,0.0,125,1.0,1,,0.0,26782,123,
2009-04-22,,,0,,,,6050.0,0.0,121,1.0,,,,26132,121,
2009-04-23,,,0,,,,3750.0,0.0,75,1.0,,,,16176,75,
2009-04-24,,,0,,,,5750.0,0.0,115,1.0,,,,24829,115,
2009-04-25,,,0,,,,5900.0,0.0,118,1.0,,,,25472,118,
2009-04-26,,,2,,,,5600.0,0.0,128,1.0,0,,0.0,25990,112,
2009-04-27,,,0,,,,5200.0,0.0,104,1.0,,,,22453,104,
2009-04-28,,,0,,,,5850.0,0.0,117,1.0,,,,25229,117,
2009-04-29,,,1,,,,6400.0,0.0,149,1.0,0,,0.0,29964,128,
2009-04-30,,,0,,,,6550.0,0.0,131,1.0,,,,28290,131,
2009-05-01,,,0,,,,6050.0,0.0,121,1.0,,,,26121,121,
2009-05-02,,,2,,,,6300.0,0.03,142,1.0,2,,0.015,29153,126,
2009-05-03,,,3,,,,5300.0,0.0,110,1.0,2,,0.0,23715,106,
2009-05-04,,,1,,,,6400.0,0.0,159,1.0,0,,0.0,31095,128,
2009-05-05,,,1,,,,6750.0,0.0,146,1.0,0,,0.0,30330,135,
2009-05-06,,,0,,,,6750.0,0.0,135,1.0,,,,29157,135,
2009-05-07,,,0,,,,6100.0,0.0,122,1.0,,,,26352,122,
2009-05-08,,,0,,,,5350.0,0.0,107,1.0,,,,23106,107,
2009-05-09,,,0,,,,3900.0,0.0,78,1.0,,,,16808,78,
2009-05-10,,,0,,,,4250.0,0.0,85,1.0,,,,18339,85,
2009-05-11,,,1,,,,6000.0,0.1,123,1.0,1,,0.1,26263,120,
2009-05-12,,,0,,,,6500.0,0.0,130,1.0,,,,28070,130,
2009-05-13,,,5,,,,5550.0,0.0,117,1.0,2,,0.0,25061,111,
2009-05-14,,,3,,,,6950.0,0.0,145,1.0,1,,0.0,30731,139,
2009-05-15,,,1,,,,6800.0,0.0,146,1.0,0,,0.0,30546,136,
2009-05-16,,,0,,,,5950.0,0.0,119,1.0,,,,25698,119,
2009-05-17,,,0,,,,6350.0,0.0,127,1.0,,,,27427,127,
2009-05-18,,,0,,,,5900.0,0.0,118,1.0,,,,25479,118,
2009-05-19,,,0,,,,4300.0,0.0,86,1.0,,,,18566,86,
2009-05-20,,,0,,,,6000.0,0.0,120,1.0,,,,25888,120,
2009-05-21,,,0,,,,4100.0,0.0,82,1.0,,,,17709,82,
2009-05-22,,,0,,,,3050.0,0.0,61,1.0,,,,13174,61,
2009-05-23,,,0,,,,1600.0,0.0,32,1.0,,,,6910,32,
2009-05-24,,,0,,,,5000.0,0.0,100,1.0,,,,21590,100,
2009-05-25,,,0,,,,5450.0,0.0,109,1.0,,,,23539,109,
2009-05-26,,,0,,,,6250.0,0.0,125,1.0,,,,26988,125,
2009-05-27,,,0,,,,5950.0,0.0,119,1.0,,,,25672,119,
2009-05-28,,,0,,,,4750.0,0.0,95,1.0,,,,20509,95,
2009-05-29,,,1,,,,5300.0,0.0,167,1.0,0,,0.0,29769,106,
2009-05-30,,,0,,,,5450.0,0.0,109,1.0,,,,23513,109,
2009-05-31,,,0,,,,4800.0,0.0,96,1.0,,,,20736,96,
2009-06-01,,,1,,,,3550.0,0.0,73,1.0,1,,0.0,15608,71,
2009-06-02,,,0,,,,5550.0,0.0,111,1.0,,,,23966,111,
2009-06-03,,,0,,,,3550.0,0.0,71,1.0,,,,15336,71,
2009-06-04,,,0,,,,3300.0,0.0,66,1.0,,,,14252,66,
2009-06-05,,,0,,,,1500.0,0.0,30,1.0,,,,6477,30,
2009-06-06,,,0,,,,1400.0,0.0,28,1.0,,,,6028,28,
2009-06-07,,,0,,,,800.0,0.0,16,1.0,,,,3455,16,
2009-06-08,,,0,,,,4100.0,0.0,82,1.0,,,,17693,82,
2009-06-09,,,0,,,,4550.0,0.0,91,1.0,,,,19638,91,
2009-06-10,,,0,,,,4100.0,0.0,82,1.0,,,,17706,82,
2009-06-11,,,0,,,,4450.0,0.0,89,1.0,,,,19221,89,
2009-06-12,,,0,,,,4300.0,0.0,86,1.0,,,,18564,86,
2009-06-13,,,0,,,,3900.0,0.0,78,1.0,,,,16805,78,
2009-06-14,,,0,,,,3600.0,0.0,72,1.0,,,,15530,72,
2009-06-15,,,0,,,,4200.0,0.0,84,1.0,,,,18140,84,
2009-06-16,,,0,,,,3550.0,0.0,71,1.0,,,,15317,71,
2009-06-17,,,0,,,,3950.0,0.0,79,1.0,,,,17036,79,
2009-06-18,,,0,,,,4000.0,0.0,80,1.0,,,,17265,80,
2009-06-19,,,0,,,,4350.0,0.0,87,1.0,,,,18764,87,
2009-06-20,,,0,,,,3900.0,0.0,78,1.0,,,,16830,78,
2009-06-21,,,0,,,,4050.0,0.0,81,1.0,,,,17477,81,
2009-06-22,,,1,,,,3800.0,0.0,137,1.0,0,,0.0,23285,76,
2009-06-23,,,0,,,,3800.0,0.0,76,1.0,,,,16383,76,
2009-06-24,,,2,,,,4750.0,0.0,100,1.0,1,,0.0,21050,95,
2009-06-25,,,1,,,,3400.0,0.0,89,1.0,0,,0.0,16983,68,
2009-06-26,,,0,,,,4500.0,0.0,90,1.0,,,,19404,90,
2009-06-27,,,0,,,,4200.0,0.0,84,1.0,,,,18130,84,
2009-06-28,,,1,,,,2300.0,0.0,48,1.0,1,,0.0,10154,46,
2009-06-29,,,1,,,,4150.0,0.0,85,1.0,1,,0.0,18154,83,
2009-06-30,,,1,,,,4250.0,0.0,89,1.0,0,,0.0,18789,85,
2009-07-01,,,1,,,,3700.0,0.0,77,1.0,0,,0.0,16238,74,
2009-07-02,,,1,,,,4150.0,0.0,85,1.0,1,,0.0,18145,83,
2009-07-03,,,0,,,,4100.0,0.0,82,1.0,,,,17710,82,
2009-07-04,,,0,,,,4450.0,0.0,89,1.0,,,,19213,89,
2009-07-05,,,0,,,,3950.0,0.0,79,1.0,,,,17063,79,
2009-07-06,,,0,,,,4200.0,0.0,84,1.0,,,,18142,84,
2009-07-07,,,0,,,,3450.0,0.0,69,1.0,,,,14900,69,
2009-07-08,,,0,,,,3700.0,0.0,74,1.0,,,,15983,74,
2009-07-09,,,0,,,,4300.0,0.0,86,1.0,,,,18552,86,
2009-07-10,,,0,,,,4050.0,0.0,81,1.0,,,,17485,81,
2009-07-11,,,0,,,,4150.0,0.0,83,1.0,,,,17927,83,
2009-07-12,,,0,,,,3850.0,0.0,77,1.0,,,,16616,77,
2009-07-13,,,0,,,,3900.0,0.0,78,1.0,,,,16841,78,
2009-07-14,,,0,,,,3450.0,0.0,69,1.0,,,,14901,69,
2009-07-15,,,0,,,,2250.0,0.0,45,1.0,,,,9719,45,
2009-07-16,,,0,,,,3550.0,0.0,71,1.0,,,,15326,71,
2009-07-17,,,0,,,,2350.0,0.0,47,1.0,,,,10143,47,
2009-07-18,,,0,,,,200.0,0.0,4,1.0,,,,860,4,
2009-07-19,,,0,,,,3500.0,0.0,70,1.0,,,,15106,70,
2009-07-20,,,1,,,,3500.0,0.14,192,1.0,1,,0.14,29029,70,
2009-07-21,,,0,,,,4100.0,0.0,82,1.0,,,,17700,82,
2009-07-22,,,0,,,,3000.0,0.0,60,1.0,,,,12924,60,
2009-07-23,,,0,,,,3800.0,0.0,76,1.0,,,,16392,76,
2009-07-24,,,0,,,,3650.0,0.0,73,1.0,,,,15763,73,
2009-07-25,,,0,,,,1600.0,0.0,32,1.0,,,,6907,32,
2009-07-26,,,0,,,,1050.0,0.0,21,1.0,,,,4526,21,
2009-07-27,,,0,,,,3700.0,0.0,74,1.0,,,,15977,74,
2009-07-28,,,0,,,,2050.0,0.0,41,1.0,,,,8844,41,
2009-07-29,,,1,,,,950.0,0.0,22,1.0,0,,0.0,4369,19,
2009-07-30,,,1,,,,750.0,0.0,17,1.0,1,,0.0,3468,15,
2009-07-31,,,0,,,,850.0,0.0,17,1.0,,,,3667,17,
2009-08-01,,,0,,,,1400.0,0.0,28,1.0,,,,6043,28,
2009-08-02,,,0,,,,1150.0,0.0,23,1.0,,,,4959,23,
2009-08-03,,,0,,,,600.0,0.0,12,1.0,,,,2590,12,
2009-08-04,,,0,,,,4050.0,0.0,81,1.0,,,,17466,81,
2009-08-05,,,0,,,,4350.0,0.0,87,1.0,,,,18768,87,
2009-08-06,,,0,,,,4500.0,0.0,90,1.0,,,,19433,90,
2009-08-07,,,1,,,,4000.0,0.13,192,1.0,1,,0.13,30042,80,
2009-08-08,,,0,,,,4000.0,0.0,80,1.0,,,,17270,80,
2009-08-09,,,0,,,,5050.0,0.0,101,1.0,,,,21816,101,
2009-08-10,,,0,,,,3750.0,0.0,75,1.0,,,,16199,75,
